summary,text
顧客はビスケットの缶を購入し、使用期限が過ぎていました。ブリキと日付の写真とその価格を知りたければ、次に何が起こるかを説明します。,顧客: 数週間前にこれらのビスケットを購入しましたが、開封して賞味期限を見ただけです.再度ツイートまたはDMいただけますでしょうか？ありがとう。顧客: 顧客: 顧客: エージェント: これについて詳しく調べたいと思います。領収書全体の写真をDMで送ってください。顧客: 3 週間前に祖父母のために購入したもので、領収書はありませんが、日付を確認したばかりです。 顧客: ビスケットは、リコー アリーナのマークス アンド スペンサー ストアで購入しました。 Cian、取引に Sparks カードを使用しますか?顧客: はい エージェント: こんにちは、Cian。こんなに素敵なジェスチャーだったのに、これを見て本当にごめんなさい！でも心配はいりません - 私たちはあなたの背中を取り戻しました ;) 1/3 エージェント: 缶のどこかにバーコードはありますか?もしあれば、写真を撮って私たちにDMを送ってください。また、それらがいくらかかるか教えてください。 2/3 エージェント: それらを入手したら、次に何が起こるかを説明します。乾杯、スティーブ:) 3/3
顧客は大きな問題を抱えており、目に見えて動揺しています。エージェントは、可能な限り専門的な方法で状況を処理しようとします。,顧客: 苦情を申し立てるにはどうすればよいですか?エージェント: あなたの苦情に関する詳細情報を DM で送っていただけませんか。 - Zeeshan 顧客: 返信できますか?エージェント: こんにちはイーサン、申し訳ありませんが、あなたが苦情を申し立てたいと思っています。ここで苦情を受け付けます。詳細と注文番号を提供できますか? エージェント: 名前と住所 (注文があった場合は郵便番号を含む) DMお願いします?ありがとう - LJ 顧客: 返信しますか?エージェント: やあ、私の返事を見たかどうか疑問に思っていますか?ありがとう - LJ お客様: Dm
駅の案内板が遅れて表示されているので、次の電車の時刻を知りたい。必要な列車の時刻を表示し、表示板の故障を報告します。,客: 朝 - フルウェルの次の電車はいつですか?情報ボードは「遅延」でフリーズしています..ウェブサイトは時間通りに表示されます!エージェント: やあリス、どこに行くの? ^JM 顧客: ウォータールーまでフルウェル エージェント: 遅れていた 06:23 は 06:41 にあなたと一緒にいるはずで、テディントンからウォータールーまで高速で走っています ^JM 顧客: ありがとうございます。 ..なぜウェブサイトにこれの詳細がなかったのですか？情報板も情報をあまり提供していません。 .. エージェント: このサービスの変更は、こちらの JourneyCheck ページで確認できます。エージェント: いいえ、私たちの Web サイトは ^JM です。 ...これは、遅延を示すために更新されたばかりです..電車が駅に到着したとき.. 顧客: ...そして、情報サインは何の情報も示していませんか?エージェント: 教えていただけますか? ディスプレイは完全に空白でしたか?これはプラットフォーム1にありましたか？ ^JM 顧客: いいえ、列車の到着時刻を表示するセグメントに「遅延」と表示されました。それ以上の情報は提供されませんでした。エージェント: Rhys さん、情報ありがとうございます。この障害を報告します。 ^JH
お客様は大きな問題を抱えています。エージェントは問題を解決しようとし、顧客に選択肢を提供します。,顧客: 助けが必要です!! !エージェント: 喜んでお手伝いします!どのような支援が必要ですか? ^M お客様: 私の姉妹のアカウントは、マイナス残高のアカウントにリンクされているためロックされていますが、これは不可能です!! !エージェント: 詳しく調査させていただきます。あなたの姉妹に電話するか、ここまたはFacebookで私たちに連絡してもらいます. ^M 顧客: 彼女は Twitter を持っておらず、あなたのコール センターはまったく役立たずです。ありがとう！ M 顧客: 現在 4 回電話をかけてきましたが、解決策がありません。これは絶対に嫌です。喜んで彼女と話しましょう。 ^CR エージェント: まだ問題が発生しているとのこと、申し訳ありません。私たちはあなたの姉妹のアカウントについて話し合うことはできませんが、彼女は 1/2 に私たちに連絡することもできます.
乗務員の戦闘によりフライトが遅れ、会社は顧客に出発予定時刻を知らせていませんでした。推定出発時刻を提供しますが、顧客が搭乗するときのみなので、その情報はすでにあります。,顧客: 昨夜のフライトがキャンセルされ、CLT で今夜のフライトが遅れました。飛行機は@ゲートで、まだ遅れています。エージェント: それは確かに、私たちがあなたに提供したい記録ではありません.出発予定時刻は午後 8 時 25 分です。顧客: 現在、午後 8 時 5 分で、搭乗していません。非常に疑わしい午後8時25分出発。 CLTのゲートでのアナウンスはありません。本当に悪いサービスです！ !エージェント: 乗務員が到着便で遅れているようです。お待ち頂きまして、ありがとうございます。すぐに更新する必要があります。顧客: 否定的です。シャーロット警察に連れ去られた乗組員がいました！これは本当に、本当に悪いです。警官が乗組員を飛行機から降ろすのを見たことがありません!! !顧客: それで、私が知ったように、元の乗組員は清掃の乗組員と喧嘩をしました.飛行には警察の報告が必要でした。これは、あなたの乗組員が、おそらく問題ではなかった問題でフライト全体を遅らせたということです。客：いよいよ搭乗開始です！アメリカン航空の従業員の問題により、搭乗が約 1 時間遅れました。 20年以上の飛行はこれが初めてです。エージェント: あなたは今、午後 9 時 10 分に出発する予定で搭乗しているようです。今晩のご旅行に混乱が生じたことをお詫び申し上げます。顧客: 乗組員が警察の報告を必要とする清掃員と喧嘩したという話は聞いたことがありません.乗務員を飛行機から降ろす警察官。これがビデオでニュースワイヤーにヒットするのを見るのが待ちきれません!!!! 138 人の乗客が、アメリカン航空が適切に処理できなかった制御可能な問題の影響を受けました!
Amazon パントリーの注文が 7 日遅れましたが、払い戻しが保留されています。問題を調べています。,客：おい！ Amazon パントリーの注文が 7 日遅れたのでキャンセルしましたが、まだ 2 待って 4 払い戻しを求められています。あなたは助けることができますか？エージェント: 不快な経験をお詫び申し上げます。こちらで詳細をお知らせください。連絡いたします。 ^GS カスタマー: 408-1929729-8238743 と 408-0714060-7645942 の 2 つの別々の注文がありました。どちらも遅れました。エージェント: ありがとうございます。早めにチェックして元に戻します。 ^HK エージェント: また、注文/アカウントの詳細は個人情報と見なされるため、提供しないでください. ^香港のお客様: わかりました！顧客: 皆さん、これに関する最新情報はありません!エージェント: 現在、詳細を確認中です。近日中に最新情報をご連絡いたします。 ^SG お客様: こんにちは、払い戻しありがとうございます!私は昨夜それを手に入れました。それでも、私は製品の1つを受け取りました。いつでも受けられます 2 顧客: 詳細が必要な場合はお知らせください。 !エージェント: すでに詳細を提供していただいているため、当社のチームが調査し、今後の更新についてご連絡いたします。 ^GU
お客様は、ギフト カードでプライム メンバーシップを購入しましたが、キャッシュバック オファーの対象かどうかを知りたがっています。この問題を調査するための安全な場所へのリンクを提供します。,顧客: 残高にギフト カードを追加してプライム メンバーシップを購入しました。私はrsの資格がありますか. 250キャッシュバック。連絡先 9899955881 エージェント: この件についてさらに調査したいと思います。プライム会員の購入日を教えていただけますか？ ^VM 顧客: 10 月 24 日。これは、2017 年 10 月 24 日に私のアカウントの詳細で確認できます。 Rsの資格があるかどうか教えてください。 250キャッシュバック。エージェント: こちらのチームにお問い合わせください: 確認いたします。 ^GK 顧客: 既に連絡済みですが、混乱は変わらないため、9899955881 の専門家である私に電話するようにお願いしています。エージェント: 詳細をここで共有してください: 調査します。 ^SG お客様: この件でお電話ですか?詳しくはお電話ください 9899955881 エージェント: Wee は Twitter 経由であなたのアカウントの詳細にアクセスできません。私たちが共有した安全なリンクで同じことを共有してください. (1/2)^CB エージェント: 個人情報と見なされるため、注文の詳細を提供しないでください。私たちのツイッターページは公開されています。 (2/2)^CB
お客様は、バラエティに富んでいないことに明らかに不満を感じています。エージェントは、最善の方法でクライアントに対処しようとします。,顧客: Tesco が 90% の女の子の靴と 10% の男の子の靴が性差別ではないと信じていないという事実に、まったくぞっとしました!男の子は女の子と同じように暖かい足を乾かす権利がないのですか?そうでない場合、なぜですか？ !エージェント: こんにちは、ルシンダ。 1/2 エージェント: フィードバックを記録できるように、お名前、メール アドレス、お近くの店舗を DM でお知らせいただけますか? Ty - Marian 2/2 顧客: マネージャーは、それは店舗ではなく HQ の問題だと言ったので、説明してください?!左の茶色の靴から右端まで全て女の子です。理由を説明してください。男の子も靴を履かなきゃ！エージェント: 偏見があるように思われる場合は申し訳ありませんが、お客様のために最善を尽くしているだけであることを保証します。 :) ありがとう、カラム 2/2 エージェント: やあ、ルシンダ。このように感じて申し訳ありません。フラストレーションに感謝します。お客様のニーズと永続的なトレンドをサポートするために、スペースと範囲を柔軟に変更します。バランスのとれたご提案ができるよう、各店舗の在庫管理を行っております。 1/2 顧客: では、女の子には 10 種類以上のブーツと靴の選択肢が必要だとおっしゃっています。 8 人のトレーナーと 10 人の靴の少年は、1 組のブーツだけを必要とし、靴やトレーナーは必要ありませんか?それがあなたの広告だからです。性差別・性差別です。あなたがこれを行うのはぞっとする！男の子は着替えが必要です。女の子と同じくらいの選択！顧客: 決してバランスが取れていません。この問題をさらに進めるために詳細を教えてください。あなたが男の子よりも女の子に偏見を持っているなんて信じられません。 ¬£¬£¬£に対するあなたの願い以外の説明はありません!お客様のことは一切考えていません！子供の 50% は男の子です 性差別をやめましょう!顧客: うーん、トレーナーの 1 つの選択肢を主張しています。男の子用のブーツは、女の子用のそれぞれ10以上の選択肢に対してバランスが取れています!それがどうして差別や性差別ではないのでしょうか?男の子は男の子だから選択を許されない!?エージェント: やあ、ルシンダ。これは差別ではないことを保証します。私たちの店では、男性用の靴よりも女性用の靴の需要の方がずっと高いのです。 1/3 エージェント: この需要の大きな違いにより、お客様がより関心を持っている女性用フットウェアを提供しています. 2/3 エージェント: この決定はお客様の選択にかかっています。お客様のニーズとウォンツを改善します。 :) ありがとう、Calum 3/3 顧客: 男の子に 1 つのペアを提供します!男の子よりも男性の方が選択肢が多かったです！無知でつぶやく前に行って見よう！あなたは明らかに男の子の子供を気にかけません。子供服を着たほぼすべてのお母さんが同じことを言いました。顧客: 実際の顧客の話を聞くと、驚くべきことに 17 人の母親が全員同意しました。 4 は、女の子の場合のみママでした。また、それは信じられないことだと思いましたが、あなたはまだこれをさらに進めるための詳細を私に提供してくれませんでした!顧客: あなたがこのオプションを私たちに与えるまで、私たちはどのようにあなたに示すべきだと思いますか.あなたは顧客の選択に耳を傾けることを拒否し、私たちに自分で選択する選択肢を与えずに、あなたの考えを社会に指示しています!最初の＆＃038を購入するだけですか？あなたが見ている靴だけですか、それともオプションを見ていますか？ !
お客様のウェブサイトに問題があります。エージェントは問題を解決しようとしますが、最終的にはより高いレベルにエスカレートする必要があります。,顧客: 親愛なるあなたのウェブサイトは、現在非常にジャックされています.あなたが知りたいかもしれないと思っただけです。エージェント: こんにちは、この件についてご報告いただきありがとうございます。問題は何ですか？顧客で何かエラーが発生していますか: アカウントにログインし、プランを変更しようとしています。エラー メッセージが表示され続け、サイトから再度ログインするよう求められたり、ページがクラッシュしたりします。顧客: また、あなたの担当者の 1 人が、かなり単純であるべきことを説明するのに 30 分もかかりました。私は 2000 年以来の顧客です。かなりイライラしたり過大請求されたりして、Google Fi への移行を真剣に検討しています。エージェント: ああ、あなたが現在使用している Web ブラウザは何ですか?あなたのアカウントでこれを確認したい場合は、DM でお知らせください :) -MP 顧客: Chrome。お客様: ブラウザは最新です。エージェント: わかりました。 IT チーム &amp; にフィードバックを送りたいのですが。また、お客様のアカウント オプションを詳しく調べる機会を得たいと思います。始めるために私にDMしてください;）-MP
別の誰かが、フライト後に自分のバッグを持って行き、自分自身の同様のケースを残し、BA が顧客に連絡する時期を知りたいと思っています。また、いつ保険金を請求できるかを尋ねています。 BAは、間違ったバッグを返却するためにその人に連絡するための措置を講じることはなく、顧客は警察に連絡してバッグが盗まれたと報告することができると述べています.,顧客: 間違って私のバッグを取った人に連絡するまでどのくらいかかりますか.紛失した荷物の参照番号を持っています.似たようなバッグが残っていると今日言われたので、それはおそらく私のものを持っている人です.服の大部分がそこにあるので、できるだけ早く元に戻したい.エージェント: 申し訳ありません、ダン。お客様のバッグをカルーセルに配達し、他の誰かがそれを受け取った場合、お客様に代わって連絡する責任はありません。ただし、バッグが置き忘れられている場合は、そのお客様に連絡して取り出せるようにできる限りのことを行います。 ^Julie Customer: 以前に電話で BA と話したとき、彼らは似たようなバッグが置き忘れられていると言いました.彼らは、私のものが返されるまで返してはいけないと言いました。連絡が取れず、間違って私のものを持っているかどうかを確認できないのは少し面倒です。私のオプションは何ですか？エージェント: こんにちは、ダン、ご不満をお察しいたします。残念ながら、すでにご存じのとおり、お客様のバッグが返却されるまで、私たちは何もすることができません。警察に連絡してバッグが盗まれたと報告するか、旅行保険会社に紛失したバッグのクレームを提出することができます. ^Linds Customer: では、人々はあなたのフライトを降りて、好きな荷物を持っていくことができますか?それは素晴らしいです！文字通り 1 人に電話する必要がありますが、あなたは電話をかけません。急いで BA を再び使用することはありません。エージェント: こんにちはダン。手荷物を受け取った乗客から連絡があり次第、詳細をお知らせします。これ以上のサポートができず、申し訳ありません。 ^Kev 顧客: ありがとう、Kev、あなたまたは保険に請求する前に、どれくらいの期間放置する必要がありますか?エージェント: こんにちはダン。他の乗客があなたのバッグを持っている場合、当社に請求することはできません。保険で請求できる場合もありますので、問い合わせてみてはいかがでしょうか。 ^Kev 顧客: では、バッグを置き忘れた人に連絡して尋ねることは絶対にできないということですか。もちろんそうしますが、あなたは彼らの詳細を教えてくれません。私はバッグにプレゼントなどを持っていて、今はそれらを交換するお金がないので、本質的に私のクリスマスを台無しにしています.エージェント: データ保護上の理由から、詳細をお伝えすることはできません、ダン。あなたのバッグがカルーセルに到着したため、何かできることを保証することはできません.ただし、DM で荷物番号、メールアドレス、住所をお知らせください。 ^Leanne 顧客: こんにちは、Leanne、メッセージを送信しました。Dan に感謝します。
顧客は、自分のカードから引き落とされた金額について不満を述べています。エージェントは、電話で接続して問題を解決すると述べました。,顧客: 間違っているのに、カット中に切断するのはなぜですか?私はあなたの CS に非常に腹を立てており、スーパーバイザー エージェントと話したいと思っています。個人情報を提供せずに、何が起こっているのか教えていただけますか?できることならお手伝いしたいです。 ^AL 顧客: 使用したことも受け取ったこともないサービスの代金がデビット カードから差し引かれ、そのお金が別のカードに振り込まれたのですか?ええ、わかりました 顧客: どうやって 1 つのカードから私のお金を受け取ったのに、別のカード全体に返金したと言うのですか? &アンプ;私があなたの事故に補償されるべきだとは思わないでください.私たちと話をしたとき、どのような洞察が得られましたか? ^SJ 顧客: 彼らがどこに返金したと思われるかを突き止めなければならないと。カードに請求するのに、カードに返金しないのはなぜですか?その後、チャットで私を切り捨ててください エージェント: 体験が悪くて申し訳ありません。もう一度電話で調べてみたいと思います: ^WJ 顧客: もう 2 回試しました!この件に関して私が取るべき次のステップは何ですか?スーパーバイザーかマネージメントか？私はすべてのスクリーンショットを持っています 顧客: そして電子メールも エージェント: 上記のリンクから連絡することが次のステップになるので、電話で適切に対処できます. ^QJ
VPN ゲートウェイの構成方法に関する説明が必要です。誰かがフォーラムを通じて応答します。,"顧客: ¬ø コモ configuro una VPNGateway entre una red virtual de Azure y una red local personal?エージェント: 確認中ですが、ヘルプの詳細を何らかの形で教えてください。そうでない場合は、1 ^FC エージェントにお知らせください。必要に応じて、詳細を確認できます。 2 ^FC 顧客: en mi red virtual de azure tengo la subred ""default"" y ocupa todo el rango de direcciones, como la elimino si tengo una maquina virtual.エージェント: VPN Gateway に関する質問 (英語) をここにまとめて、リンクを送っていただけますか? ^SN 顧客: これは正しいリンクですか? 「私の仮想ネットで VPN Gateway を構成する方法」というタイトルの私の質問をご覧いただけますか?エージェント: わかりました、ありがとう。これらの詳細についてはチームに報告済みであり、誰かがフォーラムを通じて連絡を取ります。 ^FC エージェント: フォーラムが応答を受け取ったようです。返信を確認して、さらに懸念があるかどうかを確認していただけますか? ^FC"
