message_id,audit_class,event_class,"sap_message",new_in_release,action,signature_id
CUG,Dialog Logon,Severe,"Signed LogoutRequest rejected",,success,LL02
CUH,Dialog Logon,Severe,"Unsigned LogoutRequest rejected",,success,LL02
DU0,Dialog Logon,Critical with Monitor Alert,"Invalid SAP GUI data",,failure,LL03
EUC,Dialog Logon,Critical,"OAuth scope &A not assigned to the user",new,created,SA04
EUC,Dialog Logon,Critical,"HTTP request not received from trustworthy cloud connector (reason &A)",new,created,SA04
AU5,RFC Logon,Non-Critical,"RFC/CPIC logon successful (type=&A, method=&C)",,success,LL01
AU6,RFC Logon,Critical,"RFC/CPIC logon failed, reason=&B, type=&A, method=&C",,failure,LL03
AUK,RFC Function Call,Non-Critical,"Successful RFC Call &C (Function Group = &A)",,success,PA01
AUL,RFC Function Call,Critical,"Failed RFC Call &C (Function Group = &A)",,failure,PA02
CUV,RFC Function Call,Non-Critical,"Successful WS Call (service = &A, operation &B)",,success,PA01
CUW,RFC Function Call,Critical,"Failed Web service call (service = &A, operation = &B, reason = &C)",,failure,PA02
CUZ,RFC Function Call,Critical,"Generic table access by RFC to &A with activity &B",,success,PA01
DU1,RFC Function Call,Severe,"FTP server whitelist is empty",,modified,CC01
DU2,RFC Function Call,Severe,"FTP server whitelist is non-secure due to use of placeholders",,modified,CC01
DU3,RFC Function Call,Critical,"Server &A is not contained in the whitelist",,modified,CC01
DU4,RFC Function Call,Critical,"Connection to server &A failed",,modified,CC01
DU5,RFC Function Call,Critical,"There is no logical file name for path &A",,modified,CC01
DU6,RFC Function Call,Non-Critical,"Validation for &A successful",,modified,CC01
DU7,RFC Function Call,Critical with Monitor Alert,"Validation for &A failed",,failure,PA02
DU8,RFC Function Call,Non-Critical,"FTP connection request for server &A successful",,failure,PA02
DUI,RFC Function Call,Non-Critical,"RFC callback performed (destination &A, called &B, callback &C)", Note 2128095,success,PA01
DUJ,RFC Function Call,Critical,"RFC callback rejected (destination &A, called &B, callback &C)", Note 2128095,failure,PA02
DUK,RFC Function Call,Critical,"RFC callback in simulation mode (destination &A, called &B, callback &C)", Note 2128095,success,PA01
DUR,RFC Function Call,Non-Critical,"JSON RPC call of function module &A succeeded",,success,PA01
DUS,RFC Function Call,Non-Critical,"JSON RPC call of function module &A failed",,failure,PA02
DUT,RFC Function Call,Critical,"Critical JSON RPC call of function module &A (S_RFC * authorization)",,success,PA01
EUE,RFC Function Call,Non-Critical,"RFC function module &A called successfully",new,success,PA01
EUF,RFC Function Call,Non-Critical,"Could not call RFC function module &A",new,failure,PA02
EUG,RFC Function Call,Non-Critical,"User does not have authorization to run RFC function module &A",new,failure,PA02
EUI,RFC Function Call,Severe,"Setup of UCON HTTP whitelist changed",740,modified,CC02
,,,"",Note 2522156,,
EUJ,RFC Function Call,Severe,"Phase of UCON HTTP whitelist of context type &A changed",740,modified,CC02
,,,"",Note 2522156,,
EUK,RFC Function Call,Critical,"Access to UCON HTTP whitelist of context type &A was refused",740,modified,CC02
,,,"",Note 2522156,,
EUL,RFC Function Call,Severe,"Setting of content security policy whitelist for type &A changed",740,modified,CC02
,,,"",Note 2522156,,
EUM,RFC Function Call,Severe,"Content security policy whitelist of context type &A changed",740,modified,CC02
,,,"",Note 2522156,,
EUN,RFC Function Call,Critical,"Content security policy of CSP type &A violated",740,modified,CC02
,,,"",Note 2522156,,
EUO,RFC Function Call,Severe,"UCON HTTP whitelist of context type &A was changed",740,success,PA01
,,,"",Note 2522156,,
FU1,RFC Function Call,Non-Critical,"RFC function &B with dynamic destination &C was called in program &A",740,success,PA01
AU3,Transaction Start,Non-Critical,"Transaction &A Started",,success,PA01
AU4,Transaction Start,Critical,"Start of transaction &A failed (Reason=&B)",,failure,PA02
AUP,Transaction Start,Severe,"Transaction &A Locked",,success,PA01
AUQ,Transaction Start,Severe,"Transaction &A Unlocked",,success,PA01
BUX,Transaction Start,Severe,"Test message",740,success,PA01
CUI,Transaction Start,Non-Critical,"Application &A started",740,created,SA01
CUJ,Transaction Start,Critical,"Failed to start application &A (reason =&B)",740,failure,PA02
DU9,Transaction Start,Non-Critical,"Generic table access call to &A with activity &B (auth. check: &C )",,success,PA01
RUA,Transaction Start,Non-Critical,"S/2 Cloud SDK ABAP component called",new,,
AUW,Report Start,Non-Critical,"Report &A Started",,success,PA01
AUX,Report Start,Severe,"Start Report &A Failed (Reason = &B)",,failure,PA02
AU7,User Master Record Change,Critical,"User &A Created",,created,SA01
AU8,User Master Record Change,Severe,"User &A Deleted",,deleted,SA03
AU9,User Master Record Change,Severe,"User &A Locked",,,SA08
AUA,User Master Record Change,Severe,"User &A Unlocked",,,SA09
AUB,User Master Record Change,Severe,"Authorizations for User &A Changed",,modified,SA05
AUD,User Master Record Change,Severe,"User Master Record &A Changed",,modified,SA02
AUR,User Master Record Change,Severe,"&A &B Created",,created,SA01
AUS,User Master Record Change,Severe,"&A &B Deleted",,deleted,SA03
AUT,User Master Record Change,Severe,"&A &B Changed",,modified,SA02
AUU,User Master Record Change,Critical,"&A &B Activated",,modified,SA02
BU2,User Master Record Change,Non-Critical,"Password changed for user &B in client &A",,success,LL04
BUV,User Master Record Change,Critical,"Invalid hash value &A. The context contains &B.",740,success,PA01
BUW,User Master Record Change,Critical,"A refresh token issued to client &A was used by client &B.",740,success,PA01
DUH,User Master Record Change,Severe with Monitor Alert,"OAuth 2.0: Token declared invalid (OAuth client=&A, user=&B, token type=&C)",740,modified,SA02
EUH,User Master Record Change,Non-Critical,"Authorizations of user &A for authorization object &B detected",new,success,PA01
AU0,Other events,Non-Critical,"Audit ¿ Test. Text: &A",,modified,CC02
AUV,Other events,Critical,"Digital Signature Error (Reason = &A, ID = &B)",,failure,PA02
AUY,Other events,Severe,"Download &A Bytes to File &C", 731,success,PA01
AUZ,Other events,Severe,"Digital Signature (Reason = &A, ID = &B)",,success,PA01
BU0,Other events,Critical with Monitor Alert,"RAL configuration access: Action: &A, type: &B, name &C",,success,PA01
BU1,Other events,Critical with Monitor Alert,"Password check failed for user &B in client &A",,failure,LL05
BU3,Other events,Critical with Monitor Alert,"Security check changed in export: Old value &A, new value &B",,modified,CC02
BU4,Other events,Non-Critical,"Dynamic ABAP code: Event &A, event type &B, check total &C",,modified,CM03
BU5,Other events,Severe,"ICF recorder entry executed for user &A (activity &B)",,success,PA01
BU6,Other events,Severe,"ICF recorder entry executed by user &A (&B, &C) (activity &D).",,success,PA01
BU7,Other events,Severe,"Administration setting was changed for ICF Recorder (Activity: &A)",,modified,CC01
BU8,Other events,Critical,"Virus Scan Interface: Virus ¿&C¿ found by profile &A (step &B)",,modified,SA05
BU9,Other events,Severe,"Virus Scan Interface: Error ¿&C¿ occurred in profile &A (step &B)",,modified,SA05
BUA,Other events,Severe,"WS: Signature check error (reason &B, WP &C). Refer to Web service log &A.",,success,PA01
BUB,Other events,Severe,"WS: Signature insufficient (WP &C). Refer to Web service log &A.",,success,PA01
BUC,Other events,Severe,"WS: Time stamp is invalid. Refer to Web service log &A.",,success,PA01
BUF,Other events,Non-Critical,"HTTP Security Session Management was activated for client &A.",,modified,CC02
BUG,Other events,Critical with Monitor Alert,"HTTP Security Session Management was deactivated for client &A.",,modified,CC02
BUH,Other events,Severe with Monitor Alert,"HTTP Security Session of user &A (client &B) was hard exited",,modified,CC02
BUJ,Other events,Severe,"Non-encrypted &A communication (&B)",Note 2104732,modified,CC02
BUS,Other events,Critical,"&A: Request without sufficient security characteristic of address &B.",,success,PA01
BUT,Other events,Severe,"CRL download failed with error code &A",740,failure,PA02
BUU,Other events,Critical,"Certificate check for subject ¿&A¿ with profile &B failed (status &C)",740,failure,PA02
BUY,Other events,Critical,"Field contents changed: &5&9&9&9&9&9",,success,PA01
BUZ,Other events,Very Critical,"> in program &A, line &B, event &C",,success,PA01
CU0,Other events,Critical,"RAL Log Access: Action: &A",,success,PA01
CU1,Other events,Severe,"CU Test Message",,success,PA01
CUK,Other events,Critical,"C debugging activated",,success,PA01
CUL,Other events,Very Critical,"Field content changed: &A",,success,PA01
CU_M,Other events,Very Critical,"Jump to ABAP Debugger: &A",,success,PA01
CUN,Other events,Very Critical,"A manually caught process was stopped from within the Debugger (&A)",,success,PA01
CUO,Other events,Very Critical,"Explicit database commit or rollback from debugger &A",,success,PA01
CUP,Other events,Very Critical,"Non-exclusive debugging session started",,success,PA01
CUQ,Other events,Severe,"Logical file name &A not configured. Physical file name &B not checked.",,modified,CC01
CUR,Other events,Severe,"Physical file name &B does not fulfill requirements from logical file name &A",,modified,CC01
CUS,Other events,Severe,"Logical file name &B is not a valid alias for logical file name &A",,modified,CC01
CUT,Other events,Severe,"Validation for logical file name &A is not active",,modified,CC01
CUU,Other events,Non-Critical,"Payload of PI/WS message &A was read | &B",,success,PA01
CUX,Other events,Non-Critical,"Payload of postprocessing request &A read",,success,PA01
CUY,Other events,Non-Critical,"> &A",,success,PA01
DUA,Other events,Severe,"EHS-SADM: Service &A created on host &B",731,modified,CC01
DUB,Other events,Severe,"EHS-SADM: Service &A started on host &B",731,modified,CC01
DUC,Other events,Severe,"EHS-SADM: Service &A ended on host &B",731,modified,CC01
DUD,Other events,Severe,"EHS-SADM: Service &A deleted on host &B",731,modified,CC01
DUE,Other events,Non-Critical,"EHS-SADM: Configuration of service &A changed on host &B",731,modified,CC01
DUF,Other events,Non-Critical,"EHS-SADM: File &A transferred from host &B",731,modified,CC01
DUG,Other events,Non-Critical,"EHS-SADM: File &A transferred to host &B",731,modified,CC01
DUL,Other events,Non-Critical,"Check for &A in whitelist &B was successful",,modified,CC02
DUM,Other events,Severe with Monitor Alert,"Check for &A in whitelist &B failed",,modified,CC02
DUN,Other events,Critical with Monitor Alert,"Active whitelist &A changed ( &B )",,modified,CC02
DUO,Other events,Non-Critical,"Authorization check for object &A in scenario &B successful",,success,PA01
DUP,Other events,Non-Critical,"Authorization check for object &A in scenario &B failed",,failure,PA02
DUQ,Other events,Critical with Monitor Alert,"Active scenario &A for switchable authorization checks changed ¿ &B",,modified,CC01
DUU,Other events,Non-Critical,"Authorization check for user &C on object &A in scenario &B successful",,success,PA01
DUV,Other events,Non-Critical,"Authorization check for user &C on object &A in scenario &B failed",,failure,PA02
DUW,Other events,Non-Critical,"Data target accessed in BW &A",740,,
,,,"",Note 2578918,,
DUX,Other events,Non-Critical,"TEMP: Customer-specific event DUX &A &B &C &D",740,success,PA01
DUY,Other events,Non-Critical,"TEMP: Customer-specific event DUY &A &B &C &D",740,success,PA01
DUZ,Other events,Non-Critical,"TEMP: Customer-specific event DUZ &A &B &C &D",740,success,PA01
EU3,Other events,Critical,"&A change documents deleted without archiving (&B)",750,modified,CC01
EU4,Other events,Non-Critical,"Validation successful for logical file name &A (physical: &B)",new,modified,CC01
EUB,Other events,Critical,"Could not verify the digital signature: &A",new,failure,PA02
EUV,Other events,Non-Critical,"CDS view &A was published",new,modified,CC02
FU2,Other events,Severe,"Parsing of an XML data stream canceled for security reasons (reason = &A)",740,failure,PA02
AUE,System / housekeeping,Very Critical,"Audit Configuration Changed",,modified,CC02
AUF,System / housekeeping,Very Critical,"Audit: Slot &A: Class &B, Severity &C, User &D, Client &E, &F",,modified,CC02
AUG,System / housekeeping,Very Critical,"Application Server Started",,,SS01
AUH,System / housekeeping,Very Critical,"Application Server Stopped",,,SS02
AUI,System / housekeeping,Very Critical,"Audit: Slot &A Inactive",,modified,CC02
AUJ,System / housekeeping,Very Critical with Monitor Alert,"Audit: Active Status Set to &1",,modified,CC02
EU1,System / housekeeping,Very Critical,"System changeability changed (&A to &B)",731,modified,CC01
,,,"",Note 2299636,,
EU2,System / housekeeping,Very Critical,"Client setting for &A changed (&B)",731,modified,CC01
,,,"",Note 2299636,,
EU5,System / housekeeping,Non-Critical,"Audit log data of &A was deleted (&B data records)",new,,SS03
FU0,System / housekeeping,Very Critical,"Exclusive security audit log medium changed (new status &1)",750,,
EUA,Other events,Non-Critical,"S/2 Cloud SDK ABAP component called",new,success,PA01
EUD,Other events,Critical,"HTTP request not received from trustworthy cloud connector (reason &A)",new,modified,CC02
