CATEGORY,PRIORITY,NAME,DESCRIPTION
ABAP Security Parameters,Medium,Validity period of passwords (in days),Profile parameter login/password_expiration_time to a value should be set between 30 and 90
ABAP Security Parameters,Medium,Size of Password History,Profile parameter login/password_history_size should be set to the value 15 or higher
ABAP Security Parameters,Medium,Validity Period of Unused Initial Passwords,Profile parameter login/password_max_idle_initial should be set to a value between 1 and 7
ABAP Security Parameters,Medium,Validity period for unused productive passwords,Profile parameter login/password_max_idle_productive should be set to a value between 30 and 90
ABAP Security Parameters,High,Generate ticket that will only be sent via https,Profile parameter login/ticket_only_by_https should be set to the value 1
ABAP Security Parameters,Medium,Ticket is only be sent back to creating host,Profile parameter login/ticket_only_to_host should be set to the value 1
ABAP Security Parameters,Medium,File with access control list for message server,"Profile parameter ms/acl_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)$(FN_MS_ACL_INFO)"
ABAP Security Parameters,High,Enable/disable external monitor,Profile parameter ms/acl_info should be set to the value 0
ABAP Security Parameters,Medium,External switch of trace level,Profile parameter rdisp/accept_remote_trace_level should be set to the value 0
ABAP Security Parameters,High,Activate/Deactivate table auditing,Profile parameter rec/client should be set to the value ALL
ABAP Security Parameters,High,Enable Security Audit,Profile parameter rsau/enable should be set to the value 1
ABAP Security Parameters,Medium,Additional OS users authorized for system administration,"Profile parameter service/admin_users should be set to the following value:

daaadm sapadm dacadm"
ABAP Security Parameters,Medium,Protected Web service functions requiring user authorization,Profile parameter service/admin_users should be set to the value SDEFAULT
ABAP Security Parameters,Medium,Accept insecure incoming CPIC connections on an SNC-enabled application server,Profile parameter snc/accept_insecure_cpic should be set to the value 0
ABAP Security Parameters,Medium,Accept logins from unprotected (non-SNC-secured) SAP GUIs into an SNC-enabled application server,Profile parameter snc/accept_insecure_gui should be set to the value 1 or U
ABAP Security Parameters,Medium,Accept non-secure incoming RFC connections on an SNC-enabled application server,Profile parameter snc/accept_insecure_rfc should be set to the value 1 or U
ABAP Security Parameters,Medium,Limit on the data protection of Secure Network Communications,Profile parameter snc/data_protection/max should be set to the value 3
ABAP Security Parameters,Medium,Minimum required data protection for Secure Network Communications,Profile parameter snc/data_protection/min should be set to the value 3
ABAP Security Parameters,Medium,Default level of data protection for R/3-initiated connections.,Profile parameter snc/data_protection/use should be set to the value 3
ABAP Security Parameters,High,Enable SNC Module (Secure Network Communications),Profile parameter snc/enable should be set to the value 1
ABAP Security Parameters,Low,File name for external GSS-API shared library,"Profile parameter snc/gssapi_lib should be set to the following value:

$(DIR_LIBRARY)$(DIR_SEP)$(FT_DLL_PREFIX)sapcrypto$(FT_DLL)"
ABAP Security Parameters,Medium,Permission to start insecure programs when snc is enabled,Profile parameter snc/permit_insecure_start should be set to the value 0 or 1
ABAP Security Parameters,High,Default configuration of available SSL/TLS cipher suites for the server side (inbound connections),"Profile parameter ssl/ciphersuites should be set to the following value to activate TLS versions 1.2 and 1.3 only:

1569:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH"
ABAP Security Parameters,High,Default configuration of available SSL/TLS cipher suites for the client side (outbound connections),"Profile parameter ssl/client_ciphersuites should be set to the following value to activate TLS versions 1.2 and 1.3 only:

1584:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH"
ABAP Security Parameters,Medium,TLS extension for client-side Server Name Indication (SNI),Profile parameter icm/HTTPS/client_sni_enabled should be set to the value TRUE
ABAP Security Parameters,Medium,TLS extension for client-side Server Name Indication (SNI),Profile parameter ssl/client_sni_enabled should be set to the value TRUE
ABAP Security Parameters,High,Saving internal communication with SSL,Profile parameter system/secure_communication should be set to the value ON
ABAP Security Parameters,High,Hash procedure and the coding format for the calculation of new password hash values.,"Profile  parameter login/password_hash_algorithm should be set to the following value:

encoding=RFC2307, algorithm=iSSHA-512, iterations=15000, saltsize=256"
ABAP Security Parameters,Medium,Inactive users are logged off after the specified period expires,Parameter rdisp/gui_auto_logout should be set to a value between 1 and 7200
Secure Configuration ,Medium,Delete client 001,Client 001 should be removed to reduce the attack surface
Secure Configuration ,Medium,Delete client 066,Client 066 should be removed to reduce the attack surface
Secure Configuration ,High,Secure TMSADM user,The default password for the standard TMSADM user should be changed and the user should only exist in client 000
Secure Configuration ,High,Secure EARLYWATCH user,The standard user EARLYWATCH should not exist in any client
Secure Configuration ,High,Secure DDIC user,The default password for the standard DDIC user should be changed and the user should be assigned to the SUPER user group
Secure Configuration ,Critical,Secure SAP* user,"The default password for the standard SAP* user should be changed, the user should be locked in all clients, and the user should be assigned to the SUPER user group"
Secure Configuration ,High,Authorization group for table USR02,The user table USR02 should be assigned to the table authorization group SPWD
Secure Configuration ,High,Authorization group for table USH02,The user table USH02 should be assigned to the table authorization group SPWD
Secure Configuration ,High,Authorization group for table VUSER001,The user table VUSER001 should be assigned to the table authorization group SPWD
Secure Configuration ,High,Authorization group for table USH02_ARC_TMP,The user table USH02_ARC_TMP should be assigned to the table authorization group SPWD
Secure Configuration ,High,Authorization group for table USRPWDHISTORY,The user table USRPWDHISTORY should be assigned to the table authorization group SPWD
Secure Configuration ,High,Authorization group for table VUSR02_PWD,The user table VUSR02_PWD should be assigned to the table authorization group SPWD
Secure Configuration ,Critical,RFC gateway hardening (secinfo),"The secinfo file must contain the following content:

#VERSION=2
#
P USER=* USER-HOST=local HOST=local TP=*
P USER=* USER-HOST=local HOST=internal TP=*
P USER=* USER-HOST=internal HOST=local TP="
Secure Configuration ,Critical,IDOC_XML ICF service,The IDOC_XML ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ICF service,The ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,BSP_VERI ICF service,The BSP_VERI ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ITS CERTMAP ICF service,The ITS CERTMAP ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ITS CERTREQ ICF service,The ITS CERTREQ ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,CERTMAP ICF service,The CERTMAP ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,CERTREQ ICF service,The CERTREQ ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Critical,WEBRFC ICF service,The WEBRFC ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ERROR ICF service,The ERROR ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,XRFC_TEST ICF service,The XRFC_TEST ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,XRFC ICF service,The XRFC ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,REPORT ICF service,The REPORT ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Critical,FORMTORFC ICF service,The FORMTORFC ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ECHO ICF service,The ECHO ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Critical,SOAP RFC ICF service,The SOAP RFC ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Critical,IDOC ICF service,The IDOC ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,BSP_MODEL ICF service,The BSP_MODEL ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT00 ICF service,The IT00 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT01 ICF service,The IT01 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT02 ICF service,The IT02 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT03 ICF service,The IT03 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT04 ICF service,The IT04 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,IT05 ICF service,The IT05 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ITMVC2 ICF service,The ITMVC2 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,ITSM ICF service,The ITSM ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,HTMLB_SAMPLES ICF service,The HTMLB_SAMPLES ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SBSPEXT_HTMLB ICF service,The SBSPEXT_HTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SBSPEXT_PHTMLB ICF service,The SBSPEXT_PHTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SBSPEXT_TABLE ICF service,The SBSPEXT_TABLE ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SBSPEXT_XHTMLB ICF service,The SBSPEXT_XHTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SYSTEM_PRIVATE ICF service,The SYSTEM_PRIVATE ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Medium,SYSTEM_PUBLIC ICF service,The SYSTEM_PUBLIC ICF service ICF service should be deactivated due to known security vulnerabilities with the service.
Secure Configuration ,Critical,RFC gateway hardening (reginfo),"The reginfo file must contain the following content:

#VERSION=2
P TP=* HOST=local
P TP=* HOST=internal
P TP=<authorized_tp> HOST=<authorized_host>"
Secure Configuration ,High,Secure cryptographic keys ,The table SSF_PSE_D MUST be assigned to the authorization group SPSE
Secure Configuration ,High,System changes,System change settings should be set to Not Modifiable
Secure Configuration ,High,Client settings,"Productive clients should include the settings below to prevent unauthorized changes.  

Changes and Transports for Client-Specific Objects : No changes allowed (CCCORACTIV=2)
Cross-Client Object Changes : No Changes to Repository and cross-client Customizing obj (CCNOCLIIND=3)
Protection: Protection level 1 : No overwriting (CCCOPYLOCK=X or L)
CATT and eCATT Restrictions : eCAtt and CATT Not Allowed (CCIMAILDIS=NULL)"
Secure Configuration ,Medium,RFC gateway hardening (prxyinfo),"The prxyinfo file should contain the following content:

P SOURCE=local,internal DEST=* "
Secure Configuration ,Critical,Message server hardening (acl_info content),The ms/acl_info file should not contain a line with HOST=*
Secure Configuration ,High,ICM server specification for HTTPS (icm/server_port),"Profile parameter icm/server_port_4 should be set to the following value:

PROT=HTTPS,PORT=204$$,TIMEOUT=300,PROCTIMEOUT=600,SSLCONFIG=ssl_config_<m>"
Secure Configuration ,High,ICM server specification for HTTPS (icm/ssl_config),"Profile parameter icm/ssl_config_1 should be set to the following value:

CRED=SAPSSLS_SAPADM.pse,VCLIENT=1"
ABAP Security Parameters,Medium,Secure Trusted-Trusting communication,"Profile parameter rfc/allowoldticket4tt should be set to the value no.

The setting is recommended to mitigate a critical capture-replay vulnerability in SAP NetWeaver AS ABAP. Refer to SAP Note 3089413 for further details. "
ABAP Security Parameters,Medium,Authorization and role maintenance,"Maintenance of default authorization values and profiles should not be deactivated, This can be performed using the value setting Y for the profile parameter auth/no_check_in_some_cases"
ABAP Security Parameters,Medium,External HTTP debugging,HTTP debugging is permitted for external users. This should be blocked using setting 2 for profile parameter abap/ext_debugging_possible. Setting 0 is permitted for development and test environments
ABAP Security Parameters,Medium,Authorization checks for S_TCODE,Authorization checks should be enforced for the object S_TCODE when transactions are called from other transactions using the CALL TRANSACTION command. This can be enforced using the value setting 2 or 3 for the profile parameter auth/check_calltransaction.
ABAP Security Parameters,Medium,Authorization checks for database maintenance actions,Authorization checks should be enforced for database maintenance actions. This can be enforced using the value setting 1 for the profile parameter dbs/dba/ccms_maintenance.
ABAP Security Parameters,Medium,System-specific authorization checks for database maintenance actions,"System-specific authorization checks should be enforced for database maintenance actions. This can be enforced using the value setting 1 for the profile parameter dbs/dba/ccms_security_level. The attributes DBA_DBHOST, DBA_DBSID, DBA_DBUSER and ACTVT should be maintained for authorization object S_DBCON for each user "
ABAP Security Parameters,Medium,Access control checks for proxy connections,Access control list rules should be enforced for proxy connections based on the settings in secinfo and reginfo files. This is the recommended setting for enhanced security available as of Kernel 7.89. ACL checks should be enforced by setting the profile parameter gw/acl_mode_proxy to the value 1
ABAP Security Parameters,Medium,Remote start of CPIC programs,Starting of remote CPIC programs on remote hosts should be disabled or restricted to secure remote shell. This can be enabled using the setting DISABLED for profile parameter gw/rem_start
ABAP Security Parameters,Medium,Expired passwords for ICF users,Expired passwords for ICF users should be rejected using the value setting 1 for the profile parameter icf/reject_expired_passwd
ABAP Security Parameters,Medium,CPIC Connections,The parameter login/disable_cpic should be set to 1 to disable incoming CPIC connections.  CPIC was used  to connect SAP R_3 systems with SAP R_2 systems. This functionality is no longer required in most SAP systems 
ABAP Security Parameters,Medium,Logon error messages,Logon error settings should be securely maintained to prevent the disclosure of sensitive information. This can be enforced using the value setting 0 for login/show_detailed_errors
ABAP Security Parameters,Medium,Expired password checks with SSO,Password validity checks during single sign-on logons should be enforced using the value setting 1 for profile parameter login/password_change_for_SSO
ABAP Security Parameters,Medium,Expired passwords for RFC users,Expired passwords for RFC users should be rejected using the value setting 1 for the profile parameter rfc/reject_expired_passwd. This will enforce the use of system user types for RFC users since passwords do not expire for system users.
ABAP Security Parameters,Medium,HTTP trace information,Sensitive information should not be disclosed in HTTP traces. This can be enforced using the value setting 1 or ON for profile parameter rdisp/TRACE_HIDE_SEC_DATA
ABAP Security Parameters,Medium,SAP GUI scripting ,SAP GUI scripting should be disabled using the value setting FALSE for profile parameter sapgui/user_scripting
ABAP Security Parameters,Medium,RFC callback whitelists,"Positive whitelists should be configured to control the execution of RFC callbacks in the calling system from called systems. Once configured, whitelists should be enabled using the setting 3 for profile parameter rfc/callback_security_method"
Secure Configuration ,High,Secure SAPCPIC user,The default password for the standard SAPCPIC user should be changed or the user should be deleted if not in use
ABAP Security Parameters,High,Authorization checks for RFC playbacks,"Additional authorization checks should be enabled for transactional (tRFC) and queued RFC (qRFC) calls to mitigate a privilege escalation vulnerability in AS ABAP during RFC playbacks. This can be enabled by setting the profile parameter rfc/authCheckInPlayback to 1 . Note that the vulnerability is only applicable to kernel versions 789, 793, 914 and 915. The Status of the finding can be set to Irrelevant if the kernel version is not relevant"
