name,dashboard,domain,capability,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
AT.2.056,AT_2_056_cmmc,Awareness and Training,c011,Conduct security awareness activities,fas fa-graduation-cap,"Ensure that mangers, system administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",,2,None,,TRUE
AT.3.058,AT_3_058_cmmc,Awareness and Training,c011,Conduct security awareness activities,fas fa-graduation-cap,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,,3,None,,TRUE
AT.4.059,AT_4_059_cmmc,Awareness and Training,c011,Conduct security awareness activities,fas fa-graduation-cap,"Provide awareness training focused on recognizing and responding to threats from social engineering, advanced persistent threat actors, breaches, and suspicious behaviors; update the training at least annually or when there are significant changes to the threat.",,4,None,,TRUE
AT.4.060,AT_4_060_cmmc,Awareness and Training,C011,Conduct security awareness activities,fas fa-graduation-cap,Include practical exercises in awareness training that are aligned with current threat scenarios and provide feedback to individuals invovled in the training.,,4,None,,TRUE
AT.2.057,AT_2_057_cmmc,Awareness and Training,C012,Conduct training,fas fa-graduation-cap,Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities.,,2,None,,TRUE
CM.2.061,CM_2_061_cmmc,Configuration Management,c013,Establish configuration baselines,fas fa-database,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",,2,None,,TRUE
CM.2.062,CM_2_062_cmmc,Configuration Management,c013,Establish configuration baselines,fas fa-database,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,,2,None,,TRUE
CM.2.063,CM_2_063_cmmc,Configuration Management,c013,Establish configuration baselines,fas fa-database,Control and monitor user-installed software.,,2,None,,TRUE
CM.2.064,CM_2_064_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,Establish and enforce security configuration settings for information technology products employed in organizational systems.,,2,None,,TRUE
CM.2.065,CM_2_065_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,"Track, review, approve, or disapprove, and log changes to organizational systems.",,2,None,,TRUE
CM.2.066,CM_2_066_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,Analyze the security impact of changes prior to implementation.,,2,None,,TRUE
CM.3.067,CM_3_067_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",,3,None,,TRUE
CM.3.068,CM_3_068_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",,3,None,,TRUE
CM.3.069,CM_3_069_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or dney-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",,3,None,,TRUE
CM.4.073,CM_4_073_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,Employ application whitelisting and an application vetting process for systems identified by the organization.,,4,None,,TRUE
CM.5.074,CM_5_074_cmmc,Configuration Management,c014,Perform configuration and change management,fas fa-database,"Verify the integrity and correctness of security critical or essential software as defined by the organization (e.g., roots of trust, formal verification, or crytographic signatures)",,5,None,,TRUE
IA.1.076,IA_1_076_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,"Identify information system users, processes acting on behalf of users, or devices.",,1,None,,TRUE
IA.1.077,IA_1_077_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,"Authenticate (or verify) the identities of those users, processes, or devices as a prerequisite to allowing access to organizational information systems.",,1,None,,TRUE
IA.2.078,IA_2_078_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Enforce a minimum password complexity and change of characters when new passwords are created.,,2,None,,TRUE
IA.2.079,IA_2_079_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Prohibit password reuse for a specified number of generations.,,2,None,,TRUE
IA.2.080,IA_2_080_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Allow temporary password use for system logons with an immediate change to a permanent password.,,2,None,,TRUE
IA.2.081,IA_2_081_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Store and transmit only cryptographically-protected passwords.,,2,None,,TRUE
IA.2.082,IA_2_082_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Obscure feedback of authentication information.,,2,None,,TRUE
IA.3.083,IA_3_083_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Use multi-factor authentication for local and network access to privileged accounts and for network access to non-priviledged accounts.,,3,None,,TRUE
IA.3.084,IA_3_084_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,,3,None,,TRUE
IA.3.085,IA_3_085_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Prevent the reuse of identifiers for a defined period.,,3,None,,TRUE
IA.3.086,IA_3_086_cmmc,Identification and Authentication,c015,Grant access to authenticated entities,fas fa-id-badge,Disable identifiers after a defined period of inactivity.,,3,None,,TRUE
IR.2.092,IR_2_092_cmmc,Incident Response,c016,Plan incident response,fas fa-diagnoses,"Establish an operational incident-handling capability for organizational systems that include preparation, detection, analysis, containment, recovery, and user response activities.",,2,Phantom,../splunk_app_phantom/phantom_cases_performance?,TRUE
IR.4.100,IR_4_100_cmmc,Incident Response,c016,Plan incident response,fas fa-diagnoses,"Use knowledge of attackers tactics, techniques, and procedurs in incident response planning and exectuion.",,4,Enterprise Security,,TRUE
IR.5.106,IR_5_106_cmmc,Incident Response,c016,Plan incident response,fas fa-diagnoses,"In response to cyber incidents, utilize forensic data gathering across impacted systems, ensuring the secure transfer and protection of forensic data.",,5,None,,TRUE
IR.2.093,IR_2_093_cmmc,Incident Response,c017,Detect and report events,fas fa-diagnoses,Detect and report events.,,2,Enterprise Security,,TRUE
IR.2.094,IR_2_094_cmmc,Incident Response,c017,Detect and report events,fas fa-diagnoses,Analyze and triage events to support event resolution and incident declaration.,,2,None,,TRUE
IR.2.096,IR_2_096_cmmc,Incident Response,c018,Develop and implement a response to a declared incident,fas fa-diagnoses,Develop and implement responses to declared incidents according to pre-defined procedures.,,2,Phantom,,TRUE
IR.3.098,IR_3_098_cmmc,Incident Response,c018,Develop and implement a response to a declared incident,fas fa-diagnoses,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",,3,None,,TRUE
IR.4.101,IR_4_101_cmmc,Incident Response,c018,Develop and implement a response to a declared incident,fas fa-diagnoses,Establish and maintain a security operations center capability that facilitates a 24/7 response capability.,,4,None,,TRUE
IR.5.102,IR_5_102_cmmc,Incident Response,c018,Develop and implement a response to a declared incident,fas fa-diagnoses,"Use a combination of manual and automated, real-time responses to anomalous activities that matches incident patterns.",,5,Phantom,../splunk_app_phantom/phantom_cases_performance?,TRUE
IR.5.108,IR_5_108_cmmc,Incident Response,c018,Develop and implement a response to a declared incident,fas fa-diagnoses,Establish and maintain a cyber indicent response team that can investigate an issue physically or virtually at any location within 24 hours.,,5,None,,TRUE
IR.2.097,IR_2_097_cmmc,Incident Response,c019,Perform post incident reviews,fas fa-diagnoses,Perform root cause analysis on incidents to determine underlying causes.,,2,Enterprise Security,,TRUE
IR.3.099,IR_3_099_cmmc,Incident Response,c020,Test incident response,fas fa-diagnoses,Test the organizational incident response capability,,3,None,,TRUE
IR.5.110,IR_5_110_cmmc,Incident Response,c020,Test incident response,fas fa-diagnoses,Perform unannounced operational exercises to demonstrate technical and procedural responses.,,5,None,,TRUE
MA.2.111,MA_2_111_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,Perform maintenance on organizational systems.,,2,None,,TRUE
MA.2.112,MA_2_112_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",,2,None,,TRUE
MA.2.113,MA_2_113_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,,2,None,,TRUE
MA.2.114,MA_2_114_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,Supervise the maintenance activities of personnel without required access authorization.,,2,None,,TRUE
MA.3.115,MA_3_115_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,,3,None,,TRUE
MA.3.116,MA_3_116_cmmc,Maintenance,c021,Manage maintenance,fas fa-tools,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,,3,None,,TRUE
MP.3.122,MP_3_122_cmmc,Media Protection,c022,Identify and mark media,fas fa-save,Mark media with necessary CUI markings and distribution limitations.,,3,None,,TRUE
MP.2.119,MP_2_119_cmmc,Media Protection,c023,Protect and control media,fas fa-save,"Protect (i.e., physically control and securely store) system media containing CUI, both paper, and digital.",,2,None,,TRUE
MP.2.120,MP_2_120_cmmc,Media Protection,c023,Protect and control media,fas fa-save,Limit access to CUI on System media to authorized users.,,2,None,,TRUE
MP.2.121,MP_2_121_cmmc,Media Protection,c023,Protect and control media,fas fa-save,Control the use of removable media on system components.,,2,None,,TRUE
MP.3.123,MP_3_123_cmmc,Media Protection,c023,Protect and control media,fas fa-save,Prohibit the use of portable storage devices when such devices have no identifiable owner.,,3,None,,TRUE
MP.1.118,MP_1_118_cmmc,Media Protection,c024,Sanitize media,fas fa-save,Sanitize or destroy information system media containing Federal Contract Information before dispossal or release for reuse.,,1,None,,TRUE
MP.3.124,MP_3_124_cmmc,Media Protection,c025,Protect media during transport,fas fa-save,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,,3,None,,TRUE
MP.3.125,MP_3_125_cmmc,Media Protection,c025,Protect media during transport,fas fa-save,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,,3,None,,TRUE
PS.2.127,PS_2_127_cmmc,Personnel Security,c026,Screen personnel,fas fa-shield-alt,Screen individuals prior to authorizing access to organizational systems containing CUI.,,2,None,,TRUE
PS.2.128,PS_2_128_cmmc,Personnel Security,c027,Protect federal contract information during personnel actions,fas fa-shield-alt,Ensure the organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,,2,None,,TRUE
PP.1.131,PP_1_131_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,"Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.",,1,None,,TRUE
PP.1.132,PP_1_132_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,Escort visitors and monitor visitor activity.,,1,None,,TRUE
PP.1.133,PP_1_133_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,Maintain audit logs of physical access.,,1,None,,TRUE
PP.1.134,PP_1_134_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,Control and manage physical access devices.,,1,None,,TRUE
PP.2.135,PP_2_135_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,Protect and monitor the physical facility and support infrastructure for organizational systems.,,2,None,,TRUE
PP.3.136,PP_3_136_cmmc,Physical Protection,c028,Limit physical access,fas fa-hard-hat,Enforce safeguarding measures for CUI at alternate work sites.,,3,None,,TRUE
RE.2.137,RE_2_137_cmmc,Recovery,c029,Manage back-ups,fas fa-fast-backward,Regularly perform and test data back-ups.,,2,None,,TRUE
RE.2.138,RE_2_138_cmmc,Recovery,c029,Manage back-ups,fas fa-fast-backward,Protect the confidentiality of backup Federal Contact Information at storage locations.,,2,None,,TRUE
RE.3.139,RE_3_139_cmmc,Recovery,c029,Manage back-ups,fas fa-fast-backward,"Regularly perform complete, comprehensive, and resilient data back-ups as organizationally defined.",,3,None,,TRUE
RE.5.140,RE_5_140_cmmc,Recovery,c030,Manage information security continuity,fas fa-fast-backward,"Ensure information processing facilities meet organizationally defined information security continuity, redundancy, and availability requirements.",,5,None,,TRUE
RM.2.141,RM_2_141_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and indviduals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",,2,None,,TRUE
RM.2.142,RM_2_142_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,"Scan for vulnerabilities in organizational systems and applicaitons periodically and when new vulnerabilities affecting those systems and applications are identified. ",,2,None,,TRUE
RM.3.144,RM_3_144_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,"Periodically perform risk assessments to identify and prioritize risks according to the defined risk categories, risk sources, and risk measurement criteria.",,3,Enterprise Security,,TRUE
RM.4.149,RM_4_149_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,Catalog and periodically update threat profiles and adversary TTPs.,,4,None,,TRUE
RM.4.150,RM_4_150_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,"Employ threat intelligence to inform the development of the system and security architectures, selection of security solutions, monitoring, threat hunting, and response and recovery activities.",,4,Enterprise Security,,TRUE
RM.4.151,RM_4_151_cmmc,Risk Management,c031,Identify and evaluate risk,fas fa-chart-bar,Perform scans for unauthorized ports available across perimeter network boundaries over the organization's internet network boundaries and other organizational-defined boundaries.,,4,None,,TRUE
RM.2.143,RM_2_143_cmmc,Risk Management,c032,Manage risk,fas fa-chart-bar,Remediate vulnerabilities in accordance with risk assessments.,,2,None,,TRUE
RM.3.146,RM_3_146_cmmc,Risk Management,c032,Manage risk,fas fa-chart-bar,Develop and implement risk mitigation plans.,,3,None,,TRUE
RM.3.147,RM_3_147_cmmc,Risk Management,c032,Manage risk,fas fa-chart-bar,"Manage non-vendor-supported products (e.g., end of life) separately and restict as necessary to reduce risk",,3,None,,TRUE
RM.5.152,RM_5_152_cmmc,Risk Management,c032,Manage risk,fas fa-chart-bar,Utilize an exception process for non-whitelisted software that includes mitigation techniques.,,5,None,,TRUE
RM.5.155,RM_5_155_cmmc,Risk Management,c032,Manage risk,fas fa-chart-bar,Analyze the effectiveness of security solutions at least annually to address anticipated risk to the system and the organization based on current and accumulated threat intelligence.,,5,None,,TRUE
RM.4.148,RM_4_148_cmmc,Risk Management,c033,Manage supply chain risk,fas fa-chart-bar,"Develop and update as required, a plan for managing supply chain risks associated with the IT supply chain.",,4,None,,TRUE
CA.2.157,CA_2_157_cmmc,Security Assessment,c034,Develop and manage a system security plan,fas fa-lock,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connection to other systems.",,2,None,,TRUE
CA.4.163,CA_4_163_cmmc,Security Assessment,c034,Develop and manage a system security plan,fas fa-lock,"Create, maintain, and leverage a security strategy and roadmap for organizational cybersecurity improvement.",,4,None,,TRUE
CA.2.158,CA_2_158_cmmc,Security Assessment,c035,Define and manage controls,fas fa-lock,Periodically assess the security controls in organizational systems to determin if the controls are effective in their applicaiton.,,2,None,,TRUE
CA.2.159,CA_2_159_cmmc,Security Assessment,c035,Define and manage controls,fas fa-lock,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,,2,None,,TRUE
CA.3.161,CA_3_161_cmmc,Security Assessment,c035,Define and manage controls,fas fa-lock,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.,,3,None,,TRUE
CA.4.164,CA_4_164_cmmc,Security Assessment,c035,Define and manage controls,fas fa-lock,"Conduct penetration testing periodically, leveraging automated scanning tools and ad hoc tests using human experts.",,4,None,,TRUE
CA.4.227,CA_4_227_cmmc,Security Assessment,c035,Define and manage controls,fas fa-lock,"Periodicaly perform red teaming against organizaitonal assets in order to validate defensive capabilities. ",,4,None,,TRUE
CA.3.162,CA_3_162_cmmc,Security Assessment,c036,Perform code reviews,fas fa-lock,"Employ a security assessment of enterprise software that has been developed internally, for internal use, and that has been organizationally defined as an area of risk.",,3,None,,TRUE
SA.3.169,SA_3_169_cmmc,Situational Awareness,c037,Implement threat monitoring,fas fa-binoculars,Receive and response to cyber threat intelligence from information sharing forums and sources and communicate to stakeholders.,,3,Enterprise Security,,TRUE
SA.4.171,SA_4_171_cmmc,Situational Awareness,c037,Implement threat monitoring,fas fa-binoculars,"Establish and maintain a cyber threat hunting capability to search for indicators of compromise in organizational systems and detect, track, and disrupt threats that evade existing controls.",,4,None,,TRUE
SA.4.173,SA_4_173_cmmc,Situational Awareness,c037,Implement threat monitoring,fas fa-binoculars,"Design network and system security capabilities to leverage, integrate, and share indicators of compromise.",,4,None,,TRUE
SC.2.178,SC_2_178_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,,2,None,,TRUE
SC.2.179,SC_2_179_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Use encrypted sessions for the management of network devices,,2,None,,TRUE
SC.3.177,SC_3_177_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,,3,None,,TRUE
SC.3.180,SC_3_180_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within the organizational systems.",,3,None,,TRUE
SC.3.181,SC_3_181_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Separate user functionality from system management functionality.,,3,None,,TRUE
SC.3.182,SC_3_182_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Prevent unauthorized and unintented information transfer via shared system resources.,,3,None,,TRUE
SC.3.183,SC_3_183_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",,3,None,,TRUE
SC.3.184,SC_3_184_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,"Prevent remote devices from simultaneously establishing non-remote connections with organizatonal systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",,3,None,,TRUE
SC.3.185,SC_3_185_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safegaurds.,,3,None,,TRUE
SC.3.186,SC_3_186_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,,3,None,,TRUE
SC.4.197,SC_4_197_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Employ physical and logical isolation techqniques in the system and security architectures and/or and where deemed appropriate by the organization.,,4,None,,TRUE
SC.4.228,SC_4_228_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Separaste administration of organizationally defined high value critical network infrastructure components and servers,,4,None,,TRUE
SC.5.198,SC_5_198_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Configure monitoring systems to record packets passing through the organization's internet network boundaries and other organizationally defined boundaries.,,5,None,,TRUE
SC.5.230,SC_5_230_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Enforce port and protocol compliance.,,5,None,,TRUE
SC.3.187,SC_3_187_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Establish and manage cryptographic keys for cryptography employed in organizational systems.,,3,None,,TRUE
SC.3.188,SC_3_188_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,"Control and monitor the use of mobile code. ",,3,None,,TRUE
SC.3.189,SC_3_189_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Control the use of Voice over Internet Protocol (VoIP) technolgies.,,3,None,,TRUE
SC.3.190,SC_3_190_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Protect the authenticity of communications sessions.,,3,None,,TRUE
SC.3.191,SC_3_191_cmmc,System and Communications Protection,c038,Define security requirements for systems and communications,fas fa-satellite-dish,Protect the confidentiality of CUI at rest.,,3,None,,TRUE
SC.1.175,SC_1_175_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the inform systems.",,1,None,,TRUE
