Added,Category,External Link,Framework,Domain,Practice,Title,Description,XML Definition
FALSE,Authentication,,CMMC,Access Control,AC.1.002,Success Logins - Privileged Accounts,Success Logins - Privileged Accounts,"<panel>

  <title>Success Logins - Privileged Accounts</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename=Authentication.Privileged_Authentication.Successful_Privileged_Authentication by Authentication.user, Authentication.src, Authentication.dest, _time

 | rename Authentication.src as ""Source IP"", Authentication.user as User Authentication.dest as ""Destination IP""

 | stats count as Count by User, ""Source IP"", ""Destination IP""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.1.002,Failed Logins - Privileged Accounts,Failed Logins - Privileged Accounts,"<panel>

  <title>Failed Logins - Privileged Accounts</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename=Authentication.Privileged_Authentication.Failed_Privileged_Authentication by Authentication.user, Authentication.src, Authentication.dest, _time

 | rename Authentication.src as ""Source IP"", Authentication.user as User Authentication.dest as ""Destination IP""

 | stats count as Count by User, ""Source IP"", ""Destination IP""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.1.002,Role Based Access Control by User,Role Based Access Control by User,"<panel>

  <title>Role Based Access Control by User</title>

  <input type=""multiselect"" token=""user_name_tok"">

  <label>Name of User</label>

  <valuePrefix>realname=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>realname</fieldForLabel>

  <fieldForValue>realname</fieldForValue>

  <search>

  <query>| rest /services/authentication/users

 | search realname !="""" | stats count by realname</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <choice value=""*"">*</choice>

  <default>*</default>

  </input>

  <input type=""multiselect"" token=""role_tok"">

  <label>Role</label>

  <valuePrefix>roles=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>roles</fieldForLabel>

  <fieldForValue>roles</fieldForValue>

  <search>

  <query>| rest /services/authentication/users

 | search $user_name_tok$

 | stats count by roles</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <choice value=""*"">*</choice>

  <default>*</default>

  </input>

  <input type=""multiselect"" token=""capabilities_tok"">

  <label>Capabilities</label>

  <valuePrefix>capabilities=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>capabilities</fieldForLabel>

  <fieldForValue>capabilities</fieldForValue>

  <search>

  <query>| rest /services/authentication/users

 | search $role_tok$

 | stats count by capabilities</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <choice value=""*"">*</choice>

  <default>*</default>

  </input>

  <table>

  <search>

  <query>| rest /services/authentication/users

 | search $user_name_tok$ AND $role_tok$ AND realname != """"

 | stats count by realname, roles, capabilities

 | search $capabilities_tok$

 | fields - count

 | rename realname as ""Name of User"", roles as Roles, capabilities as Capabilities</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Web,,CMMC,Access Control,AC.1.003,Blocked Requests,Blocked Requests,"<panel>

  <single>

  <title>Blocked Requests</title>

  <search>

  <query>| tstats count from datamodel=Web where Web.app=""Websense Proxy"" AND Web.action=""blocked"" by _time

 | timechart count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </single>

  </panel>"
FALSE,Web,,CMMC,Access Control,AC.1.003,Allowed Requests,Allowed Requests,"<panel>

  <single>

  <title>Allowed Requests</title>

  <search>

  <query>| tstats count from datamodel=Web where Web.app=""Websense Proxy"" AND Web.action=""allowed"" by _time

 | timechart count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </single>

  </panel>"
FALSE,Web,,CMMC,Access Control,AC.1.003,Top Blocked Destinations,Top Blocked Destinations,"<panel>

  <table>

  <title>Top Blocked Destinations</title>

  <search>

  <query>| tstats count from datamodel=Web where Web.app=""Websense Proxy"" AND Web.action=""blocked"" by Web.action, Web.url, Web.src

 | rename Web.action as action, Web.url as url, Web.src as src Web.dest as dest

 | sort 0 count, url

 | rename action as Action url as ""Destination URL"" src as ""Request Source"" count as Count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Web,,CMMC,Access Control,AC.1.003,Proxy Data by Action,Proxy Data by Action,"<panel>

  <input type=""dropdown"" token=""action_tok"" searchWhenChanged=""true"">

  <label>Action</label>

  <choice value=""*"">All</choice>

  <default>*</default>

  <prefix>""</prefix>

  <suffix>""</suffix>

  <fieldForLabel>Web.action</fieldForLabel>

  <fieldForValue>Web.action</fieldForValue>

  <search>

  <query>| tstats count from datamodel=Web where Web.app=""Websense Proxy"" by Web.action</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  </input>

  <viz type=""sankey_diagram_app.sankey_diagram"">

  <title>Proxy Data by Action</title>

  <search>

  <query>| tstats count from datamodel=Web where Web.app=""Websense Proxy"" AND Web.action=$action_tok$ by Web.action, Web.url, Web.src

 | rename Web.src as user Web.action as action Web.url as url

 | eval domain = replace(url, ""^(\w+:\/\/?[^\/]+)(.*)"",""\1/"")

 | stats count by user, action, domain

 | appendpipe

  [ stats count by user, action

  | rename user as source, action as target]

 | appendpipe

  [ stats count by action, domain

  | rename action as source, domain as target]

 | search source=*

 | fields source target count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""height"">751</option>

  <option name=""refresh.display"">progressbar</option>

  </viz>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.2.008,Count of Unprivileged Users with Privileged Accounts,Count of Unprivileged Users with Privileged Accounts,"<panel>

  <single>

  <title>Count of Unprivileged Users with Privileged Accounts</title>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename!=Authentication.Privileged_Authentication by Authentication.user

 | rename Authentication.user as user

 | join user max=0

  [| tstats count from datamodel=Authentication where nodename=Authentication.Privileged_Authentication by Authentication.src_user

  | rename Authentication.src_user as user]

 | stats count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </single>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.2.008,Most Common Unprivileged Users with Privileged Accounts,Most Common Unprivileged Users with Privileged Accounts,"<panel>

  <table>

  <title>Most Common Unprivileged Users with Privileged Accounts</title>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename!=Authentication.Privileged_Authentication by Authentication.user

 | rename Authentication.user as user

 | join user max=0

  [| tstats count from datamodel=Authentication where nodename=Authentication.Privileged_Authentication by Authentication.src_user

  | rename Authentication.src_user as user]

 | rename count as Count

 | sort -Count

 | head 10</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  <sampleRatio>1</sampleRatio>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">cell</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.2.008,Least Common Unprivileged Users with Privileged Accounts,Least Common Unprivileged Users with Privileged Accounts,"<panel>

  <table>

  <title>Least Common Unprivileged Users with Privileged Accounts</title>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename!=Authentication.Privileged_Authentication by Authentication.user

 | rename Authentication.user as user

 | join user max=0

  [| tstats count from datamodel=Authentication where nodename=Authentication.Privileged_Authentication by Authentication.src_user

  | rename Authentication.src_user as user]

 | rename count as Count

 | sort Count

 | head 10</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  <sampleRatio>1</sampleRatio>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">cell</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,windows_session_lock,,CMMC,Access Control,AC.2.010,Least Common Workstation Locking Activity,Least Common Workstation Locking Activity,"<panel>

  <title>Least Common Workstation Locking Activity</title>

  <table>

  <title>Select an account to view by time</title>

  <search>

  <query>index=* eventtype=windows_session_lock

 | stats count by Account_Name, Account_Domain

 | sort 20 count

 | rename Account_Name as ""Account Name"", Account_Domain as ""Account Domain"" count as ""Count""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">cell</option>

  <option name=""refresh.display"">progressbar</option>

  <drilldown>

  <set token=""account_name_tok"">$row.Account Name$</set>

  </drilldown>

  </table>

  </panel>

 </row>

  <row depends=""$account_name_tok$"">

  <panel>

  <title>Timechart for $account_name_tok$</title>

  <chart>

  <search>

  <query>index=* eventtype=windows_session_lock

 | search Account_Name=""$account_name_tok$""

 | rename Account_Name as ""Account Name"", count as ""Count""

 | timechart count(""Account Name"") as count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""charting.chart"">line</option>

  <option name=""charting.drilldown"">none</option>

  <option name=""charting.legend.placement"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </chart>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.2.011,Wireless Access Control - Successful Authentications - Chart,Wireless Access Control - Successful Authentications - Chart,"<panel>

  <chart>

  <title>Wireless Access Control - Successful Authentications - Chart</title>

  <search>

  <query>| tstats count from datamodel=Network_Traffic by All_Traffic.wifi All_Traffic.action All_Traffic.user All_Traffic.session_id _time | rename All_Traffic.wifi as wifi All_Traffic.action as action All_Traffic.user as user All_Traffic.session_id as session_id | chart count over _time by action useother=false</query>

 <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""charting.axisLabelsX.majorLabelStyle.overflowMode"">ellipsisNone</option>

  <option name=""charting.axisLabelsX.majorLabelStyle.rotation"">-45</option>

  <option name=""charting.axisTitleX.visibility"">visible</option>

  <option name=""charting.axisTitleY.visibility"">visible</option>

  <option name=""charting.axisTitleY2.visibility"">visible</option>

  <option name=""charting.axisX.abbreviation"">none</option>

  <option name=""charting.axisX.scale"">linear</option>

  <option name=""charting.axisY.abbreviation"">none</option>

  <option name=""charting.axisY.scale"">linear</option>

  <option name=""charting.axisY2.abbreviation"">none</option>

  <option name=""charting.axisY2.enabled"">0</option>

  <option name=""charting.axisY2.scale"">inherit</option>

  <option name=""charting.chart"">line</option>

  <option name=""charting.chart.bubbleMaximumSize"">50</option>

  <option name=""charting.chart.bubbleMinimumSize"">10</option>

  <option name=""charting.chart.bubbleSizeBy"">area</option>

  <option name=""charting.chart.nullValueMode"">gaps</option>

  <option name=""charting.chart.showDataLabels"">none</option>

  <option name=""charting.chart.sliceCollapsingThreshold"">0.01</option>

  <option name=""charting.chart.stackMode"">default</option>

  <option name=""charting.chart.style"">shiny</option>

  <option name=""charting.drilldown"">all</option>

  <option name=""charting.layout.splitSeries"">0</option>

  <option name=""charting.layout.splitSeries.allowIndependentYRanges"">0</option>

  <option name=""charting.legend.labelStyle.overflowMode"">ellipsisMiddle</option>

  <option name=""charting.legend.mode"">standard</option>

  <option name=""charting.legend.placement"">right</option>

  <option name=""charting.lineWidth"">2</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""trellis.enabled"">0</option>

  <option name=""trellis.scales.shared"">1</option>

  <option name=""trellis.size"">medium</option>

  </chart>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.2.011,Wireless Access Control - Successful Authentications - Top 10 by Count,Wireless Access Control - Successful Authentications - Top 10 by Count,"<panel>

  <table>

  <title>Wireless Access Control - Successful Authentications - Top 10 by Count</title>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where All_Traffic.action=success by All_Traffic.wifi All_Traffic.action All_Traffic.user All_Traffic.session_id _time | rename All_Traffic.wifi as wifi All_Traffic.action as action All_Traffic.user as user All_Traffic.session_id as session_id | top 10 user, action | sort -count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">none</option>

  <option name=""drilldown"">row</option>

  <option name=""percentagesRow"">false</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.2.011,Wireless Access Control - Failed Authentications - Top 10 by Count,Wireless Access Control - Failed Authentications - Top 10 by Count,"<panel>

  <table>

  <title>Wireless Access Control - Failed Authentications - Top 10 by Count</title>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where All_Traffic.action=fail* by All_Traffic.wifi All_Traffic.action All_Traffic.user All_Traffic.session_id _time | rename All_Traffic.wifi as wifi All_Traffic.action as action All_Traffic.user as user All_Traffic.session_id as session_id | top 10 user, action | sort -count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">none</option>

  <option name=""drilldown"">row</option>

  <option name=""percentagesRow"">false</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.2.011,Wireless Access Control - Success Authentications - Bottom 10 by Count,Wireless Access Control - Success Authentications - Bottom 10 by Count,"<panel>

  <table>

  <title>Wireless Access Control - Success Authentications - Bottom 10 by Count</title>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where All_Traffic.action=success by All_Traffic.wifi All_Traffic.action All_Traffic.user All_Traffic.session_id _time | rename All_Traffic.wifi as wifi All_Traffic.action as action All_Traffic.user as user All_Traffic.session_id as session_id | top 10 user, action | sort +count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.2.011,Wireless Access Control - Failed Authentications - Bottom 10 by Count,Wireless Access Control - Failed Authentications - Bottom 10 by Count,"<panel>

  <table>

  <title>Wireless Access Control - Failed Authentications - Bottom 10 by Count</title>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where All_Traffic.action=fail* by All_Traffic.wifi All_Traffic.action All_Traffic.user All_Traffic.session_id _time | rename All_Traffic.wifi as wifi All_Traffic.action as action All_Traffic.user as user All_Traffic.session_id as session_id | rare 10 user, action | sort +count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
