Tier,Config,Section,Stanza,Property,Default_Value,New_Value,Unit,Notes,Description,Info
Clustered Indexers,indexes.conf,,[_introspection],repFactor,0,auto,,,"repFactor = 0|auto
Valid only for indexer cluster peer nodes.
Determines whether an index gets replicated.
Configuring this setting to 0 turns off replication for this index.
Configuring to ""auto"" turns on replication for this index.
You must configure this setting to the same value on all peer nodes.
Default: 0",
Clustered Indexers,indexes.conf,,[_metrics],repFactor,0,auto,,,"repFactor = 0|auto
Valid only for indexer cluster peer nodes.
Determines whether an index gets replicated.
Configuring this setting to 0 turns off replication for this index.
Configuring to ""auto"" turns on replication for this index.
You must configure this setting to the same value on all peer nodes.
Default: 0",
Clustered Indexers,indexes.conf,,[default],journalCompression,gzip,zstd,,Improves performance and compression for raw data on indexers,"journalCompression = gzip|lz4|zstd
The compression algorithm that splunkd should use for the rawdata journal
 file of new index buckets.
This setting does not have any effect on already created buckets. There is
 no problem searching buckets that are compressed with different algorithms.
""zstd"" is only supported in Splunk Enterprise version 7.2.x and higher. Do
 not enable that compression format if you have an indexer cluster where some
 indexers run an earlier version of Splunk Enterprise.
Default: gzip",Improves performance and compression for raw data on indexers
Clustered Indexers,indexes.conf,,[default],lastChanceIndex,empty,lastChanceIndex,string,"Consider setting a low retention periods (i.e, 7d)","lastChanceIndex = <index name>
An index that receives events that are otherwise not associated
 with a valid index.
If you do not specify a valid index with this setting, such events are
 dropped entirely.
Routes the following kinds of events to the specified index:
 events with a non-existent index specified at an input layer, like an
 invalid ""index"" setting in inputs.conf
 events with a non-existent index computed at index-time, like an invalid
 _MetaData:Index value set from a ""FORMAT"" setting in transforms.conf
You must set 'lastChanceIndex' to an existing, enabled index.
 Splunk software cannot start otherwise.
If set to ""default"", then the default index specified by the
 'defaultDatabase' setting is used as a last chance index.
Default: empty string","Having a lastChanceIndex set up by default would make things much less dramatic when we lose / lack custom index definitions: Instead of dropping customer data on the floor, we would be putting it in this catch-all index - AMI-3010 CLOSED"
Clustered Indexers,indexes.conf,,[default],maxDataSize,auto,auto_high_volume,,"Dictates bucket size. Considering that one of the main scalability issues with indexer clustering right now is linked to high bucket counts, we might want to look at enforcing a different default than ""auto"". We might also want to ensure that some internal indexes that ship with a fixed small bucket size (_internal and _introspection use 1GB buckets) are reconfigured to use 10GB buckets. S2 - covered in it's own setup (750 MB) Classic - auto_high_volume (confirm if already in place as standard)","maxDataSize = <positive integer>|auto|auto_high_volume
The maximum size, in megabytes, that a hot bucket can reach before splunkd
 triggers a roll to warm.
Specifying ""auto"" or ""auto_high_volume"" will cause Splunk to autotune this
 setting (recommended).
You should use ""auto_high_volume"" for high-volume indexes (such as the
 main index); otherwise, use ""auto"". A ""high volume index"" would typically
 be considered one that gets over 10GB of data per day.
""auto_high_volume"" sets the size to 10GB on 64-bit, and 1GB on 32-bit
 systems.
Although the maximum value you can set this is 1048576 MB, which
 corresponds to 1 TB, a reasonable number ranges anywhere from 100 to
 50000. Before proceeding with any higher value, please seek approval of
 Splunk Support.
If you specify an invalid number or string, maxDataSize will be auto
 tuned.
NOTE: The maximum size of your warm buckets might slightly exceed
 'maxDataSize', due to post-processing and timing issues with the rolling
 policy.
For remote storage enabled indexes, consider setting this value to ""auto""
 (750MB) or lower.
Default: ""auto"" (sets the size to 750 megabytes)","Dictates bucket size. Considering that one of the main scalability issues with indexer clustering right now is linked to high bucket counts, we might want to look at enforcing a different default than ""auto"". We might also want to ensure that some internal indexes that ship with a fixed small bucket size (_internal and _introspection use 1GB buckets) are reconfigured to use 10GB buckets. S2 - covered in it's own setup (750 MB) Classic - auto_high_volume (confirm if already in place as standard)"
Clustered Indexers,indexes.conf,,[default],maxHotBuckets,auto,10,,,"Maximum number of hot buckets that can exist per index.
When 'maxHotBuckets' is exceeded, the indexer rolls the hot bucket
 containing the least recent data to warm.
Both normal hot buckets and quarantined hot buckets count towards this
 total.
This setting operates independently of maxHotIdleSecs, which can also
 cause hot buckets to roll.
NOTE: the indexer applies this limit per ingestion pipeline. For more
 information about multiple ingestion pipelines, see
 'parallelIngestionPipelines' in the server.conf.spec file.
With N parallel ingestion pipelines, the maximum number of hot buckets across
 all of the ingestion pipelines is N 'maxHotBuckets', but only
 'maxHotBuckets' for each ingestion pipeline. Each ingestion pipeline
 independently writes to and manages up to 'maxHotBuckets' number of hot
 buckets. Consequently, when multiple ingestion pipelines are configured, there
 may be multiple hot buckets with events on overlapping time ranges.
The highest legal value is 1024. However, do not set to a value greater 
 than 11 without direction from Splunk Support. Higher values can degrade 
 indexing performance.
If you specify ""auto"", the indexer sets the value to 3.
This setting applies only to event indexes.
Default: ""auto""",
Clustered Indexers,indexes.conf,,[default],maxHotIdleSecs,0,,s,Need to define the correct value,"maxHotIdleSecs = <nonnegative integer> * How long, in seconds, that a hot bucket can remain in hot status without   receiving any data. * If a hot bucket receives no data for more than 'maxHotIdleSecs' seconds,   splunkd rolls the bucket to warm. * This setting operates independently of 'maxHotBuckets', which can also cause   hot buckets to roll. * A value of 0 turns off the idle check (equivalent to infinite idle time). * The highest legal value is 4294967295 * Default: 0",Need to define the correct value
Clustered Indexers,indexes.conf,,[default],maxHotSpanSecs,7776000,,integer,"# 1. use when you have near-zero data latency, data has short path, as long as the data coming within the threshold (2-3 seconds)  # 2. must have very clean data onboarding, most importantly timestamp extractions.  this setting should not be used if we have data quality issues # dealing specifically with timestamping.   For Security/Compliance use cases we need to restrict/avoid over retention this prevents a hot bucket from containing more than seven days Allowing frozenTimePeriodInSecs to be honored within 1 day Upper bound of timespan of hot/warm buckets in seconds. Note:! There may be corner cases on an index by index basis to change this to a higher or lower number","maxHotSpanSecs = <positive integer> * Upper bound of timespan of hot/warm buckets, in seconds. * This is an advanced setting that should be set   with care and understanding of the characteristics of your data. * Splunkd applies this limit per ingestion pipeline. For more   information about multiple ingestion pipelines, see   'parallelIngestionPipelines' in the server.conf.spec file. * With N parallel ingestion pipelines, each ingestion pipeline writes to   and manages its own set of hot buckets, without taking into account the state   of hot buckets managed by other ingestion pipelines. Each ingestion pipeline   independently applies this setting only to its own set of hot buckets. * If you set 'maxHotBuckets' to 1, splunkd attempts to send all   events to the single hot bucket and does not enforce 'maxHotSpanSeconds'. * If you set this setting to less than 3600, it will be automatically   reset to 3600. * NOTE: If you set this setting to too small a value, splunkd can generate   a very large number of hot and warm buckets within a short period of time. * The highest legal value is 4294967295. * NOTE: the bucket timespan snapping behavior is removed from this setting.   See the 6.5 spec file for details of this behavior. * Default: 7776000 (90 days)",
Clustered Indexers,indexes.conf,,[default],maxTotalDataSizeMB,500000,4294967295,integer,By default never purge based on size of data,"The maximum size of an index, in megabytes.
If an index grows larger than the maximum size, splunkd freezes the oldest data in the index.
This setting applies only to hot, warm, and cold buckets. It does not apply to thawed buckets.
CAUTION: This setting takes precedence over other settings like
 'frozenTimePeriodInSecs' with regard to data retention. If the index
 grows beyond 'maxTotalDataSizeMB' megabytes before
 'frozenTimePeriodInSecs' seconds have passed, data could prematurely
 roll to frozen. As the default policy for rolling data to frozen is
 deletion, unintended data loss could occur.
Splunkd ignores this setting on remote storage enabled indexes.
Highest legal value is 4294967295
Default: 500000","S2 ONLY - We don't want to restrict the default index size on a per-peer basis for customer indexes. Instead, we want to make sure that size enforcement is only performed based on time, with a frozenTimePeriodInSecs dictated by the customer."
Clustered Indexers,indexes.conf,,[default],quarantineFutureSecs,2592000,604801,integer,Review example indexes to determine ideal values.,"Events with timestamp of quarantineFutureSecs newer than """"now"""" will be dropped into quarantine bucket. This is a mechanism to prevent main hot buckets from being polluted with fringe events. Defaults to 2592000 (30 days). Tuned to 7 Days and 1 Second",https://jira.splunk.com/browse/CIA-3226
Clustered Indexers,indexes.conf,,[default],quarantinePastSecs,77760000,604801,integer,Review example indexes to determine ideal values.,"Any data more than seven days old or in the future should go in quarantine This is also to prevent over retention note data in these buckets will be retained based on index date time NOT _time Events with timestamp of quarantinePastSecs older than """"now"""" will be dropped into quarantine bucket This is a mechanism to prevent the main hot buckets from being polluted with fringe events. Defaults to 77760000 (900 days). Tuned to 7 Days and 1 Second Note!: some indexes may need a longer window for example windows","maxHotIdleSecs - currently set to 0, need to define what we set to for S2 and ""classic"" (7776000) : SPL-122407. Quarantine - These settings are to make sure any event with older than 90 days time stamp go into quarantine hot buckets and we don’t create lot of hot buckets . See Quarantine - These settings are to make sure any event with older than 90 days time stamp go into quarantine hot buckets and we don’t create lot of hot buckets Need to compare configs setting for S2 vs ""classic"""
Clustered Indexers,indexes.conf,,[default],repFactor,0,auto,,,"repFactor = 0|auto
Valid only for indexer cluster peer nodes.
Determines whether an index gets replicated.
Configuring this setting to 0 turns off replication for this index.
Configuring to ""auto"" turns on replication for this index.
You must configure this setting to the same value on all peer nodes.
Default: 0",
Clustered Indexers,indexes.conf,,[default],tsidxWritingLevel,2,3,,Improves performance and compression for raw data on indexers,"tsidxWritingLevel = [1|2|3|4]
Enables various performance and space-saving improvements for tsidx files.
Tsidx files written with a higher tsidxWritingLevel setting have limited backward
 compatibility when searched with lower versions of Splunk Enterprise.
Setting tsidxWritingLevel globally is recommended. It can also be set per-index.
For deployments that have multi-site index clustering, change the setting AFTER
 all your indexers in the cluster have been upgraded to the latest release.
Default: 2",Improves performance and compression for raw data on indexers
Clustered Indexers,limits.conf,,[lookup],max_memtable_bytes,26214400,100000000,integer,Indexers have excess memory. Indexing lookups can impact performance,"max_memtable_bytes = <integer>
Maximum size, in bytes, of static lookup file to use an in-memory index for.
Lookup files with size above max_memtable_bytes will be indexed on disk
NOTE: This setting also applies to lookup files loaded through the lookup()
 eval function *which runs at search time*. The same function if called through
 the ingest-eval functionality, uses ingest_max_memtable_bytes instead.
CAUTION: Setting this to a large value results in loading large lookup
 files in memory. This leads to a bigger process memory footprint.
Default: 26214400 (25MB)",Indexers have excess memory. Indexing lookups can impact performance
Clustered Indexers,limits.conf,,[realtime],local_receive_timeout,5,60,integer,Benefits / Reason: In the course of support cases on Splunk Cloud with ITSI for large customers such as Progressive and Roche we found that connectivity between peers and search heads negatively impacted correctness of application results.,"local_receive_timeout = <integer>
Receive timeout, in seconds, for an indexer's search process when
 connecting to that indexer's splunkd.
Default: 5",Benefits / Reason: In the course of support cases on Splunk Cloud with ITSI for large customers such as Progressive and Roche we found that connectivity between peers and search heads negatively impacted correctness of application results.
Clustered Indexers,limits.conf,,[search],batch_search_max_index_values,10000000,20000000,integer,20000000 64GB (d2/r3.2xl-4xl) / 30000000 128GB (d2/r3.8x),"batch_search_max_index_values = <integer>
When using batch mode, this limits the number of event entries read from the
 index file. These entries are small, approximately 72 bytes. However batch
 mode is more efficient when it can read more entries at one time.
Setting this value to a smaller number can lead to slower search performance.
A balance needs to be struck between more efficient searching in batch mode
and running out of memory on the system with concurrently running searches.
Default: 10000000","Increasing this setting allows for batch mode searches (for example, data model acceleration) to process large data buckets (with > 10M events) 2x to 10x faster by operating only in memory."
Clustered Indexers,limits.conf,,[search],log_search_messages,false,,boolean,"Logs to index=_internal sourcetype=splunk_search_messages, see if this data has any value otherwise disable it","log_search_messages = <boolean>
Specifies whether splunkd promotes user-facing search messages
 from $SPLUNK_HOME/var/run/splunk/dispatch/<sid>/info.csv to
 $SPLUNK_HOME/var/log/splunk/search_messages.log.
Splunkd does not promote messages with a severity that is ranked
 lower than the value of search_messages_severity.
Splunkd promotes messages only after search has been audited.
The search_messages.log file follows this format when it logs messages:
 orig_component=""..."" sid=""..."" peer_name=""..."" message=...
Default: false",
Clustered Indexers,limits.conf,,[search],max_searches_per_process,500,,integer,from 100-whisper-searchhead tune if necessary or if less than 500,"On UNIX, specifies the maximum number of searches that each search process
 can run before exiting.
After a search completes, the search process can wait for another search to
 start and the search process can be reused.
When set to ""0"" or ""1"": The process is never reused.
When set to a negative value: There is no limit to the number of searches
 that a process can run.
Has no effect on Windows if search_process_mode is not ""auto"".
Default: 500","As perSPL-142287NEW, there is an ongoing discussion to turn off search process pre-fork at least for the time being - Last conversation this shoudl NOT be changed and should be left at 500."
Clustered Indexers,limits.conf,,[search],record_search_telemetry,true,false,boolean,Check if we need to keep index=_introspection sourcetype=search_telemetry,"record_search_telemetry = <boolean>
Controls whether to record search related metrics in search_telemetry.json
 in the dispatch dir. It also indexes this file to the _introspection index.
NOTE: Do not change this setting unless instructed to do so by Splunk Support.
Default: true",
Clustered Indexers,limits.conf,,[search],search_process_memory_usage_threshold,4000,0,double,We don't want searches that present memory leaks or unbounded memory growth to bring down search-heads or indexers. 0 per Octavio. Will use WLM to manage individual searches,"search_process_memory_usage_threshold = <double>
To use this setting, the ""enable_memory_tracker"" setting must be set
 to ""true"".
Specifies the maximum memory, in MB, that the search process can consume
 in RAM.
Search processes that violate the threshold are terminated.
If the value is set to 0, then search processes are allowed to grow
 unbounded in terms of in memory usage.
Default: 4000 (4GB)",We don't want searches that present memory leaks or unbounded memory growth to bring down search-heads or indexers. 0 per Octavio. Will use WLM to manage individual searches
Clustered Indexers,limits.conf,,[system_checks],installed_files_integrity,enabled,log_only,,,"installed_files_integrity = enabled | log_only | disabled
Enables/disables automatic verification on every startup that all the
 files that were installed with the running Splunk version are still the
 files that should be present.
 Effectively this finds cases where files were removed or changed that
 should not be removed or changed, whether by accident or intent.
 The source of truth for the files that should be present is the manifest
 file in the $SPLUNK_HOME directory that comes with the release, so if
 this file is removed or altered, the check cannot work correctly.
 Reading of all the files provided with the install has some I/O cost,
 though it is paid out over many seconds and should not be severe.
When ""enabled"", detected problems will cause a message to be posted to
 the bulletin board (system UI status message).
When ""enabled"" or ""log_only"", detected problems will cause details to be
 written out to the splunkd.log file.
When ""disabled"", no check will be attempted or reported.
Default: enabled",
Clustered Indexers,props.conf,,[splunk_python],TRUNCATE,10000,50000,integer,None,"TRUNCATE = <non-negative integer>
The default maximum line length, in bytes.
Although this is in bytes, line length is rounded down when this would
 otherwise land mid-character for multi-byte characters.
Set to 0 if you never want truncation (very long lines are, however, often
 a sign of garbage data).
Default: 10000",None
Clustered Indexers,props.conf,,[splunkd_audit],TRUNCATE,10000,50000,integer,,"TRUNCATE = <non-negative integer>
The default maximum line length, in bytes.
Although this is in bytes, line length is rounded down when this would
 otherwise land mid-character for multi-byte characters.
Set to 0 if you never want truncation (very long lines are, however, often
 a sign of garbage data).
Default: 10000",
Clustered Indexers,props.conf,,[splunkd_ui_access],TRUNCATE,10000,20000,integer,None,"TRUNCATE = <non-negative integer>
The default maximum line length, in bytes.
Although this is in bytes, line length is rounded down when this would
 otherwise land mid-character for multi-byte characters.
Set to 0 if you never want truncation (very long lines are, however, often
 a sign of garbage data).
Default: 10000",None
Clustered Indexers,server.conf,,[cachemanager],eviction_padding,5120,51200,integer,,"eviction_padding = <positive integer> Specifies the additional space, in megabytes, beyond 'minFreeSpace' that the cache manager uses as the threshold to start evicting data.  If free space on a partition falls below ('minFreeSpace' + 'eviction_padding'), then the cache manager tries to evict data from remote storage enabled indexes.  Default: 5120 (~5GB)",
Clustered Indexers,server.conf,,[cachemanager],eviction_policy,lru,lruk,string,,"eviction_policy = <string>
The name of the eviction policy to use.
Current options: lru, clock, random, lrlt, noevict, lruk
Do not change the value from the default unless instructed by
 Splunk Support.
Default: lru",
Clustered Indexers,server.conf,,[clustering],cxn_timeout,60,300,s,SeeConfigurations for a large indexer cluster (>100k buckets). Specifies how long before an intra-cluster connection will terminate.,"cxn_timeout = <integer>
Lowlevel timeout, in seconds, for establishing connection between
 cluster nodes.
Default: 60",SeeConfigurations for a large indexer cluster (>100k buckets). Specifies how long before an intra-cluster connection will terminate.
Clustered Indexers,server.conf,,[clustering],decommission_node_force_timeout,300,600,s,,"decommission_node_force_timeout = <seconds>
Valid only for 'mode=peer' and during node offline operation
The maximum time, in seconds, that a peer node waits for searchable copy
 reallocation jobs to finish before it transitions to the down (or)
 'GracefulShutdown' state.
This period begins after the peer node receives a 'splunk offline' command
 or its '/cluster/slave/control/control/decommission' REST endpoint
 is accessed.
This attribute is not applicable to the ""--enforce-counts"" version of the
 ""splunk offline"" command
Default: 300 seconds",
Clustered Indexers,server.conf,,[clustering],decommission_search_jobs_wait_secs,0,900,integer,Want to make sure that it is not changed,"The maximum time, in seconds, that splunkd waits for running searches to complete during a shutdown_decommission_search.  To trigger this type of shudown, post to 'services/server/control/shutdown_decommission_search' If set to 0, splunkd does not wait, and all searches in progress will fail.  If this search head is a member of a search head cluster, use 'decommission_search_jobs_wait_secs' in the [shclustering] stanza instead.
NOTE: If this search head is a node of an indexer cluster, use 'decommission_search_jobs_wait_secs' in the [clustering] stanza instead.  Default: 0",Want to make sure that it is not changed
Clustered Indexers,server.conf,,[clustering],max_replication_errors,3,20,integer,,"max_replication_errors = <integer>
Only valid for 'mode=peer'.
This is the maximum number of consecutive replication errors
 (currently only for hot bucket replication) from a source peer
 to a specific target peer. Until this limit is reached, the
 source continues to roll hot buckets on streaming failures to
 this target. After the limit is reached, the source no
 longer rolls hot buckets if streaming to this specific target
 fails. This is reset if at least one successful (hot bucket)
 replication occurs to this target from this source.
The special value of 0 turns off this safeguard; so the source
 always rolls hot buckets on streaming error to any target.
This setting is dynamically reloadable and does not require restart
 of cluster peer.
Default: 3",
Clustered Indexers,server.conf,,[clustering],rcv_timeout,60,300,s,"See Configurations for a large indexer cluster (>100k buckets). Specifies how long before an intra-cluster connection will terminate. If a cluster indexer times out, it will re-add itself to the CM, which itself is a busy operation (it needs to resync the state of all its buckets), These can be bumped up for busier clusters (300s) which can lead to negative feedback loops...","rcv_timeout = <integer>
Lowlevel timeout, in seconds, for receiving data between cluster nodes.
Default: 60","See Configurations for a large indexer cluster (>100k buckets). Specifies how long before an intra-cluster connection will terminate. If a cluster indexer times out, it will re-add itself to the CM, which itself is a busy operation (it needs to resync the state of all its buckets), These can be bumped up for busier clusters (300s) which can lead to negative feedback loops..."
Clustered Indexers,server.conf,,[clustering],rep_cxn_timeout,5,10,s,,"rep_cxn_timeout = <integer>
Lowlevel timeout, in seconds, for establishing connection for replicating
 data.
Default: 5",
Clustered Indexers,server.conf,,[clustering],rep_max_rcv_timeout,180,360,s,Consider keeping as default. Increasing this setting may increase rate of skips.,"rep_max_rcv_timeout = <integer>
Only valid for 'mode=peer'
Maximum cumulative receive timeout, in seconds, for receiving
 acknowledgment data from peers.
On 'rep_rcv_timeout' source peer determines if total
 receive timeout has exceeded 'rep_max_rcv_timeout'.
 If so, replication fails.
This setting is dynamically reloadable and does not require restart
 of cluster peer.
Default: 180 (3 minutes)",None
Clustered Indexers,server.conf,,[clustering],rep_max_send_timeout,180,360,s,Consider keeping as default. Increasing this setting may increase rate of skips.,"rep_max_send_timeout = <integer>
Only valid for 'mode=peer'
Maximum send timeout, in seconds, for sending replication slice
 data between cluster nodes.
On rep_send_timeout source peer determines if total send timeout has
 exceeded 'rep_max_send_timeout'. If so, replication fails.
If cumulative 'rep_send_timeout' exceeds 'rep_max_send_timeout',
 replication fails.
This setting is dynamically reloadable and does not require restart
 of cluster peer.
Default: 180 (3 minutes)",None
Clustered Indexers,server.conf,,[clustering],rep_rcv_timeout,10,20,s,,"rep_rcv_timeout = <integer>
Only valid for 'mode=peer'
Lowlevel timeout, in seconds, for receiving acknowledgment data from peers.
This is a soft timeout. When this timeout is triggered on source peer,
 it tries to determine if target is still alive. If it is still alive,
 it reset the timeout for another 'rep_send_timeout' interval and continues.
If target has failed or cumulative timeout has exceeded
 'rep_max_rcv_timeout', replication fails.
Default: 10",
Clustered Indexers,server.conf,,[clustering],rep_send_timeout,5,10,s,,"rep_send_timeout = <integer>
Only valid for 'mode=peer'
Lowlevel timeout, in seconds, for sending replication slice data between
 cluster nodes.
This is a soft timeout. When this timeout is triggered on source peer,
 it tries to determine if target is still alive. If it is still alive, it
 reset the timeout for another 'rep_send_timeout interval' and continues. If
 target has failed or cumulative timeout has exceeded the
 'rep_max_send_timeout', replication fails.
Default: 5",
Clustered Indexers,server.conf,,[clustering],search_files_retry_timeout,600,1200,s,Default values were expressed in mins(10) rather than secs (600). Updated default and recommended values to secs.,"search_files_retry_timeout = <integer>
Timeout, in seconds, after which request for search files from a
 peer is aborted.
To make a bucket searchable, search specific files are copied from
 another source peer with search files. If search files on source
 peers are undergoing chances, it asks requesting peer to retry after
 some time. If cumulative retry period exceeds the specified timeout,
 the requesting peer aborts the request and requests search files from
 another peer in the cluster that may have search files.
Default: 600 (10 minutes)",
Clustered Indexers,server.conf,,[clustering],searchable_target_sync_timeout,60,120,s,,"searchable_target_sync_timeout = <integer>
Only valid for 'mode=peer'.
If a hot bucket replication connection is inactive for this time,
 in seconds, a searchable target flushes out any pending search
 related in-memory files.
Regular syncing - when the data is flowing through
 regularly and the connection is not inactive - happens at a
 faster rate (default of 5 secs controlled by
 streamingTargetTsidxSyncPeriodMsec in indexes.conf).
The special value of 0 turns off this timeout behavior.
Default: 60",
Clustered Indexers,server.conf,,[clustering],send_timeout,60,300,s,"Specifies how long before an intra-cluster connection will terminate. If a cluster indexer times out, it will re-add itself to the CM, which itself is a busy operation (it needs to resync the state of all its buckets), which can lead to negative feedback loops... These can be bumped up for busier clusters (300s)","send_timeout = <integer>
Lowlevel timeout, in seconds, for sending data between cluster nodes.
Default: 60","Specifies how long before an intra-cluster connection will terminate. If a cluster indexer times out, it will re-add itself to the CM, which itself is a busy operation (it needs to resync the state of all its buckets), which can lead to negative feedback loops... These can be bumped up for busier clusters (300s)"
Clustered Indexers,server.conf,,[diag],upload_rectifier_timeout_secs,2,4,s,Tune only if necessary and if you are using splunk diag to upload the diag directly to your case,"upload_rectifier_timeout_secs = <unsigned integer>
Valid only for 'mode=peer'.
This setting applies to remote storage enabled indexes only.
When a peer uploads a bucket copy to remote storage, it checks, after a ,
 timeout based on the value of this setting, to determine whether another
 peer overwrote the copy.
Depending on the value of ""bucketsize_upload_preference"" it will determine
 if the bucket needs to be re-uploaded.
This setting controls the timeout that the peer waits before checking.
Default: 2",
