id, name
[HIPAA] 164.308(a)(5),"164.308(a)(5) Security Awareness, Training and Tools"
[HIPAA] 164.308(a)(6),164.308(a)(6) Security Incident Procedures
[HIPAA] 164.308(a)(7),164.308(a)(7) Contingency Plan
[HIPAA] 164.310(d)(2),164.310(d)(2) Device and Media Controls
[HIPAA] 164.312(a)(1),164.312(a)(1) Access Control
[HIPAA] 164.312(b),164.312(b) Audit controls
[HIPAA] 164.312(c)(1),164.312(c)(1) Integrity
[HIPAA] 164.312(c)(2),164.312(c)(2) Mechanism to Authenticate EPHI
[HIPAA] 164.312(d),164.312(d) Person or entity authentication
[HIPAA] 164.312(e)(1),164.312(e)(1) Transmission Security
[ISO 27001:2013] A.5.1,A.5.1 - Management direction for information security
[ISO 27001:2013] A.8.1,A.8.1 - Responsibility for assets
[ISO 27001:2013] A.9.1,A.9.1 - Business requirements of access control
[ISO 27001:2013] A.9.2,A.9.2 - User access management
[ISO 27001:2013] A.9.4,A.9.4 - System and application access control
[ISO 27001:2013] A.10.1,A.10.1 - Cryptographic controls
[ISO 27001:2013] A.12.1,A.12.1 - Operational procedures and responsibilities
[ISO 27001:2013] A.12.2,A.12.2 - Protection from malware
[ISO 27001:2013] A.12.3,A.12.3 - Backup
[ISO 27001:2013] A.12.4,A.12.4 - Logging and monitoring
[ISO 27001:2013] A.12.7,A.12.7 - Information systems audit considerations
[ISO 27001:2013] A.13.1,A.13.1 - Network security management
[ISO 27001:2013] A.13.2,A.13.2 - Information transfer
[ISO 27001:2013] A.14.1,A.14.1 - Security requirements of information systems
[ISO 27001:2013] A.18.1,A.18.1 - Compliance with legal and contractual requirements
[NIST SP 800-53] AC-1,AC-1 Access Control Policy and Procedures
[NIST SP 800-53] AC-2,AC-2 Account Management
[NIST SP 800-53] AC-3,AC-3 Access Enforcement
[NIST SP 800-53] AC-4,AC-4 Information Flow Enforcement
[NIST SP 800-53] AC-5,AC-5 Separation of duties
[NIST SP 800-53] AC-6,AC-6 Least Privilege
[NIST SP 800-53] AC-17,AC-17 Remote Access
[NIST SP 800-53] AU-2,AU-2 Audit Events
[NIST SP 800-53] AU-3,AU-3 Content of Audit Records
[NIST SP 800-53] AU-4,AU-4 Audit Storage Capacity
[NIST SP 800-53] AU-5,AU-5 Response to Audit Processing Failures
[NIST SP 800-53] AU-7,AU-7 Audit Reduction and Report Generation
[NIST SP 800-53] AU-8,AU-8 Time Stamps
[NIST SP 800-53] AU-9,AU-9 Protection of Audit Information
[NIST SP 800-53] AU-10,AU-10 Non-Repudiation
[NIST SP 800-53] AU-11,AU-11 Audit Record Retention
[NIST SP 800-53] AU-12,AU-12 Audit Generation
[NIST SP 800-53] CM-5,CM-5 Access Restrictions For Change
[NIST SP 800-53] CM-6,CM-6 Configuration Settings
[NIST SP 800-53] CM-7,CM-7 Least Functionality
[NIST SP 800-53] CP-7,CP-7 Alternate Processing Site
[NIST SP 800-53] IA-2,IA-2 Identification and Authentication
[NIST SP 800-53] IA-5,IA-5 Authenticator Management
[NIST SP 800-53] SC-2,SC-2 Application Partitioning
[NIST SP 800-53] SC-7,SC-7 Boundary Protection
[NIST SP 800-53] SC-8,SC-8 Transmission Confidentiality and Integrity
[NIST SP 800-53] SC-12,SC-12 Cryptographic Key Establishment and Management
[NIST SP 800-53] SC-13,SC-13 Cryptographic Protection
[NIST SP 800-53] SC-23,SC-23 Session Authenticity
[NIST SP 800-53] SC-28,SC-28 Protection of Information at Rest
[NIST SP 800-53] SI-3,SI-3 Malicious code protection
[NIST SP 800-53] SI-7,"SI-7 Software, Firmware and Information Integrity"
[PCI-DSS V3.2] 1.1,1.1 - Establish and implement firewall and router configuration standards
[PCI-DSS V3.2] 1.2,1.2 - Build firewall and router configurations that restrict connections
[PCI-DSS V3.2] 1.3,1.3 - Prohibit direct public access between the Internet and any system component in the cardholder data environment
[PCI-DSS V3.2] 2.2,2.2 -  Develop configuration standards for all system components
[PCI-DSS V3.2] 2.3,2.3 -  Encrypt all non-console administrative access using strong cryptography
[PCI-DSS V3.2] 4.1,"4.1 - Encrypt transmission of cardholder data across open, public networks"
[PCI-DSS V3.2] 6,6 - Develop and maintain secure systems and applications
[PCI-DSS V3.2] 6.2,6.2 - Ensure that all system components and software are protected from known vulnerabilities by installing applicable vendor-supplied security patches.
[PCI-DSS V3.2] 6.3,6.3 - Develop internal and external software applications (including web-based administrative access to applications) securely
[PCI-DSS V3.2] 6.4,6.4 - Follow change control processes and procedures for all changes to systemcomponents
[PCI-DSS V3.2] 7.1,7.1 - Limit access to system components and cardholder data to only those individuals whose job requires such access
[PCI-DSS V3.2] 7.2,7.2 - Establish an access control system(s) for systems components
[PCI-DSS V3.2] 8.1,8.1 - Define and implement policies and procedures to ensure proper user identification management for non-consumer users and administrators on all system components
[PCI-DSS V3.2] 8.2,8.2 -  Ensure proper user-authentication management for non-consumer users and administrators
[PCI-DSS V3.2] 8.3,8.3 -  Secure all individual non-console administrative access and all remote access to the CDE using multi-factor authentication
[PCI-DSS V3.2] 8.5,"8.5 -  Do not use group, shared or generic IDs, passwords or other authentication methods"
[PCI-DSS V3.2] 8.6,8.6 -  Authentication mechanisms
[PCI-DSS V3.2] 8.7,"8.7 - All access to any database containing cardholder (including access by applications, administrators and all other users) data is restricted"
[PCI-DSS V3.2] 10.1,10.1 - Implement audit trails to link all access to system components to each individual user
[PCI-DSS V3.2] 10.2,10.2 - Implement automated audit trails for all system components
[PCI-DSS V3.2] 10.3,10.3 - Record audit trail entries for all system components
[PCI-DSS V3.2] 10.5,10.5 - Secure audit trails so that they cannot be altered
[PCI-DSS V3.2] 10.7,10.7 - Audit log Retention
[PCI-DSS V3.2] 12.3,12.3 - Develop usage policies for critical technologies and define proper use of these technologies
[FEDRAMP V2.4] AC-1,AC-1: Access Control Policy And Procedures
[FEDRAMP V2.4] AC-2,AC-2: Account Management
[FEDRAMP V2.4] AC-6,AC-6: Least Privilege
[FEDRAMP V2.4] AU-2,AU-2:  Audit Events
[FEDRAMP V2.4] AU-3,AU-3: Content Of Audit Records
[FEDRAMP V2.4] AU-5,AU-5: Response To Audit Processing Failures
[FEDRAMP V2.4] AU-9,AU-9: Protection Of Audit Information
[FEDRAMP V2.4] AU-10,AU-10: Non-Repudiation
[FEDRAMP V2.4] AU-11,AU-11: Audit Record Retention
[FEDRAMP V2.4] AU-12,AU-12: Audit Generation
[FEDRAMP V2.4] CM-3,CM-3: Configuration Change Control
[FEDRAMP V2.4] CM-5,CM-5: Access Restrictions For Change
[FEDRAMP V2.4] CM-7,CM-7: Least Functionality
[FEDRAMP V2.4] SC-7,SC-7: Boundary Protection
[FEDRAMP V2.4] SC-8,SC-8: Transmission Confidentiality And Integrity
[FEDRAMP V2.4] SC-13,SC-13: Cryptographic Protection
[FEDRAMP V2.4] SC-28,SC-28: Protection Of Information At Rest
[FEDRAMP V2.4] CP-9,CP-9: Information System Backup
[FEDRAMP V2.4] IA-2,IA-2: Identification And Authentication
[FEDRAMP V2.4] IA-4,IA-4: Identifier Management
[FEDRAMP V2.4] IA-5,IA-5: Authenticator Management
[FEDRAMP V2.4] SC-12,SC-12: Cryptographic Key Establishment And Management
[FEDRAMP V2.4] SI-4,SI-4: Information System Monitoring
[FEDRAMP V2.4] SI-5,"SI-5: Security Alerts, Advisories And Directives"
