field,info,description,url
FSS3,Federated Search,Federated Search for Amazon S3,https://www.splunk.com/en_us/blog/platform/announcing-splunk-federated-search-for-amazon-s3-now-generally-available-in-splunk-cloud-platform.html
Fully_Completed_Search,"Indicates if the results of the search were returned fully or partially. Often tied with has_error_warn when it indicates that errors or warnings were encountered. If the search is not fully completed then it has returned partial results. info=completed and fully_completed_search=false, indicating that the search was not truly successful",,
has_error_warn,This tells us if there were errors or warnings that were encountered when the search was executed. These errors or warnings can be found in var/log/splunk/search_messages.log.  An example of an ERROR encountered for a running search would be where the search cannot distribute to all indexers.,,
HumanCapital,,FTE or Human Capital cost,
includedRetentionDays,,"Only pertains to internal indexes, this is the default retention days for internal indexes",
info,"The status of the search:
1. info=completed means that the search completed successfully
2. info=cancelled/cancel means that the search was cancelled by the user
3. info=failed means that the search failed and did not complete successfully for some reason
4. info=pause means that the user who ran the search has paused the search while it is running.
5. info=resume means that the user who had paused a search, has resumed the search
6. info=finalize means that the search which was running was finalized either by the user, or automatically based on Splunk's auto-finalize rules for the user's role, or the WLM rules applied.
7. info=bad_request means that the search that was run had an error in the SPL, and it cannot be executed.
There are other values for info, but these are the main ones.",,
Infrastructure,,Infrastructure cost,
INGEST,"Ingest Pricing offers volume-based pricing to customers based on GB/day data ingestion into Splunk products. If customers need to use more data, they can purchase the next ingest level available. This well-known pricing option continues to be available to current customers.",Ingest Pricing measured in GB/day for select deployments.,https://www.splunk.com/en_us/software/pricing/faqs.html#ingest-pricing
ingest_license,Splunk_Cloud_Volume When the field Unit = GB,The total daily ingest volume customers have purchased in GB,
invocations.command.search.index.bucketcache.error,Indicates that there was an error reading/retrieving the TSIDX/metadata files for specific buckets,,
invocations.command.search.index.bucketcache.hit,"The number of buckets searched in local cache for TSDIX and metadata, for the time range of the search. ",,
invocations.command.search.index.bucketcache.miss,"The number of buckets that had to be downloaded from SmartStore to be searched for TSIDX and metadata, for the selected time range",,
invocations.command.search.rawdata.bucketcache.error,Indicates that there was an error reading/retrieving the journal files for specific buckets,,
invocations.command.search.rawdata.bucketcache.hit,"The number of buckets that had their journal files opened/searched in local cache, for the selected time range",,
invocations.command.search.rawdata.bucketcache.miss,"The number of buckets that needed journal files downloaded from SmartStore, for the selected time range",,
is_federated_search,"Indicates if the search is a federated search or not, and if it is searching over federated indexes.",,
is_flex_search,Identifies if the search is searching over a flex index or not.,,
is_prjob,Identifies if the search is a parallel reduce job or not.,,
is_proxied,,,
is_realtime,Denotes if the search is a real time search or not,,
latest,,Latest event that was archived on this index,
mem_used,Current amount of resident physical memory used (KB). (Usually far less deceiving than virtual memory because operating systems can be liberal with virtual memory size but never with resident memory size.),,
mode,Identifies if the search is running in the historical mode or the historical_batch mode.  Historical batch mode searches typically complete faster than historical searches.,,
ninetyDayArchived,Shows up in the Index Storage Usage Details panel of the Archive Storage dashboard,"How much data has been archived in the last 90 days, in gb",
ninetyDayExpired,Shows up in the Index Storage Usage Details panel of the Archive Storage dashboard,"How much data has expired in the last 90 days, in gb",
normalized_pct_cpu,Percentage of CPU usage across all cores. 100% is equivalent to all CPU resources on the machine,,
O11y_APM,,Splunk APM,
O11y_II,,Splunk Incident Intelligence,
O11y_IM,,Splunk Infrastructure Monitoring,
O11y_LO,,Splunk Log Observer,
O11y_RUM,,Splunk RUM,
O11y_Synthetics_API,,Splunk Synthetics - API Test,
O11y_Synthetics_Browser,,Splunk Synthetics - Browser Test,
O11y_Synthetics_Uptime,,Splunk Synthetics - Uptime Test,
Provenances,"Provides additional information about where the search originated from. For example, if the search was from the default search page, or from a dashboard, or from the scheduler, or somewhere else.  provenance=N/A, this indicates that the search was an API search",,
purchased_storage_blocks,Cloudstorage_Purchaseingb,"The total ADDITIONAL searchable storage they have purchased, in blocks (multiple by 500, then add ingest_license*90  to get the total searchable license in gb)",
quarterlyArchiveGrowth,,Total archive growth in the last 90 days,
quarterlyExpiryGrowth,,Total expired data in the last 90 days,
rate_limit_retry_enabled,,,
rawSizeBytes,For customer indexes this value = rawSizeBytesCustomer,"Total size of the index. For internal indexes, this value = rawSizeBytesCustomer + rawSizeBytesInternal",
rawSizeBytes,,Total size of all indexes,
rawSizeBytesCustomer,,Total size of stored data inside internal index that is OUTSIDE the default storage period plus customer indexes. Does not currently include restored data,
rawSizeBytesInternal,,Total size of stored data inside internal indexes that is WITHIN the default storage period,
rawSizeGBCustomer,,Total size of stored data inside internal indexes that is OUTSIDE the default storage period plus customer indexes. Does not currently include restored data,
rawSizeGBInternal,,Total size of stored data inside internal indexes that is within the default storage period,
result_count,"The total number of results returned by the search. For example, if the last command in the search is | stats count , then the result_count will be 1, because it produces one result, with a single numeric value for count. I.E. How many results were returned after the transforming commands",,
retentionDays,,The retention days that have been set by the customer,
roles,Indicates the roles used by the user that ran the search,,
savedsearch_name,"This shows the name of the saved search that was run. If the search is an ad-hoc search, then this field is left blank. Typically if the search is coming from a dashboard it will show a search name such as search2, which indicates what number search it is on the dashboard. ",,
scan_count,"Number of events scanned (decompressed and evaluated against search terms). Measured before the first filter in the search pipeline. The only events filtered from here are filtered by index. Under certain circumstances, this can be > event_count. The number of events retrieved from a Splunk index at a low level.",,
search,Shows the SPL search string executed,,
search_et,"This ACTUAL earliest time of the searched time window, after the search has been parsed for execution. (reflected in epoch time) This value can be different to api_et if the users time range picker is set to one value, but the user has explicitly used the earliest and latest time modifiers in the actual search string.  The same thing happens for a saved search where the dispatch.earliest and dispatch.latest values in savedsearches.conf are set to specific values, but the string SPL uses the earliest and latesttime modifiers in the search string. For example, if a users time range picker is set to Last Week but the user enters earliest=-15m latest=now into their search string, then api_et will reflect the epoch time for the beginning of Last Week (from the time range picker) and the search_et will reflect the epoch time for 15 minutes ago, which comes from the earliest time modifier value in the search string, and which is what gets applied to the search when it is parsed for execution. ",,
search_id,This is the ID assigned to the search from the search head or search head cluster. This can be used to trace the search on the indexers also.,,
search_lt,"The ACTUAL latest time of the searched time window, after the search has been parsed for execution. (reflected in epoch time) For detailed explanation, see search_et.",,
search_startup_time,The time spent parsing the search to be ready to distribute to indexers.,,
searched_buckets,Buckets in the time range. How many indexing buckets were searched.,,
SmartStore,"SmartStore maximizes data management flexibility while maintaining search performance by allowing compute (CPUs) and data storage to be independently scaled up or down based on business demands. It automatically evaluates users’ data access patterns via an application-aware cache and places actively accessed data in local storage for real-time analytics and unused/inactive data in lower-cost, remote storage.","Remote object store E.g. Amazon S3, Google GCS, or Microsoft Azure Blob storage",https://docs.splunk.com/Documentation/Splunk/latest/Indexer/SmartStoresystemrequirements
splunk_app_to_lob_csv_lookup,App 2 B-Unit,,
splunk_bunit_allocations_csv_lookup,B-Unit Allocations,,
splunk_chargeback_app_help_csv_lookup,App Help Table (This Table),,
splunk_cloud_stack_info_csv_lookup,Splunk Cloud Search Heads,,
splunk_entitlements_csv_lookup,Stack Entitlements,,
splunk_host_to_lob_csv_lookup,Search Head 2 B-Unit,,
splunk_identities_custom_kv_store_lookup,Custom Identity Store,,
splunk_index_to_lob_csv_lookup,Index 2 B-Unit,,
splunk_job_to_lob_csv_lookup,Job 2 B-Unit,,
splunk_rest_identities_kv_store_lookup,Splunk Cloud Users,,
splunk_role_to_lob_csv_lookup,Role 2 B-Unit,,
splunk_user_to_lob_csv_lookup,User 2 B-Unit,,
SRU,| eval SRU_Perc = (cpu_used * `chargeback_cpu_weight` / total_cpu_used + mem_used * `chargeback_mem_weight` / total_mem_used + run_time * `chargeback_run_time_weight` / total_run_time + searched_buckets * `chargeback_searched_buckets_weight` / total_searched_buckets + scan_count * `chargeback_scan_count_weight` / total_scan_count + density * `chargeback_density_weight` / total_density) / total_weight * 100,Search Resource Usage,
startEpoch,,Maps to the oldest event on the index,
SVC,"Unit of capabilities that includes the following resources in Splunk Cloud: compute, memory, and I/O",Splunk Virtual Compute,https://www.splunk.com/en_us/software/pricing/faqs.html https://www.splunk.com/en_us/blog/leadership/splunk-entity-pricing.html
svc_license,Splunk_Cloud_Volume When the field Unit = SVC,Total SVCs customers have purchased,
t_count,Current number of threads,,
timestamp,,,
total_run_time,Search run time in seconds. The total time it took to run the search in seconds.,,
total_slices,How many slices in all considered buckets Journal.gz that might need to be decompressed. Total slices examined during the search,,
totalSizeCleared,Shows up under the Data Archive and Restoration Summary,"Total gb cleared, comes from the total_size_flushed in the DDAA database",
totalSizeExpired,Shows up under the Data Archive and Restoration Summary,Total gb expired,
totalSizeRestored,Shows up under the Data Archive and Restoration Summary,Total gb restored,
user,The user account that ran the search,,
Videos,Splunk Youtube,Splunk App for Chargeback - Part 1 of 3 - Walkthrough,https://www.youtube.com/embed/-AhiQEcbds0?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com
Videos,Splunk Youtube,Splunk App for Chargeback - Part 2 of 3 - Business Hierarchy,https://www.youtube.com/embed/xG7iHuc9log?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com
Videos,Splunk Youtube,Splunk App for Chargeback - Part 3 of 3 - Platform Optimization,https://www.youtube.com/embed/rG6YOF3RW-Y?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com
What is Workload Pricing?,Workload pricing aligns your investments in Splunk with how you use it to derive insights from your data. The primary pricing factor in this model is the compute capacity consumed for search and analytics workloads rather than the data volume ingested. Gain visibility into your license consumption and control how your total compute capacity gets used across various use cases and Splunk capabilities. This model is available for our cloud products and some of our on-premises offerings.,,
