ID No.,Message,Definition,Event Type
33300,User exceeded�{MaxFailedAttempts}�incorrect password attempts in a span of�{Interval}�minutes. The account will be inaccessible for a short time.,"IdP has recorded more than the configured maximum number of unsuccessful password attempts within the configured throttling interval. While this condition exists, further password attempts will not be sent to LDAP, and the user will not be able to access this realm in IdP. This does not affect the user's other uses of their LDAP account, e.g. through an company internal email client.",Password Throttling MFA
33310,User exceeded�{MaxFailedAttempts}�incorrect password attempts; the account is being locked.,"If the realm is configured with ""PWThrottleHardLockout"" as true, exceeding the permitted maximum incorrect password attempts will result in the user's LDAP account being locked. The user will no longer be able to access any system that relies on their LDAP account, and will need to contact an administrator in order to unlock the account.",Password Throttling MFA
40601,Credential validation passed,The call to ValidateUser by user ID and password was successful.,Adaptive Auth with O365
40601,ClaimsIdentity set,At least one element exists in the ClaimsPrincipal's identities collection. The first one in the collection will be used.,Adaptive Auth with O366
40602,RequestBlockingEngine,"The WS-Trust Request Blocking Engine has rejected the request. After this error is logged, the BeginIssue call fails with a 401 Unauthorized and a ""FailedAuthentication"" FaultCode.",Adaptive Auth with O367
40603,WS-Trust token validation failed,"The call to ValidateUser by user ID and password failed. After this error is logged, the BeginIssue call fails with a 401 Unauthorized and a ""FailedAuthentication"" FaultCode.",Adaptive Auth with O368
40604,AnalyzeEngineBlocking,The (optional) call to validate the client IP using the Analyze Engine has failed. This means the IP did not pass the Analyze Engine blacklist / whitelist filter or was rejected by the IP Risk service. It also may occur if the Analyze Engine configuration is incompatible with WS-Trust.,Adaptive Auth with O369
51010,Found the user with the name,Found the user in AD,User Membership or Profile Retrieval
51020,Cannot find the user with the name,Username not found in AD,User Membership or Profile Retrieval
51160,Password cannot be validated,User password is incorrect,User Membership or Profile Retrieval
51160,Validation failed with name and password,User password is incorrect,User Membership or Profile Retrieval
51170,Password is validated,User password is correct,User Membership or Profile Retrieval
52010,Retrieved user profile data,Retrieved user profile from AD,User Membership or Profile Retrieval
52060,Set �[User profile attribute name]� to �[AD attribute name]�,Save data to AD with attribute name,User Membership or Profile Retrieval
52070,Updated user profile,Commit saving modified user profile data to AD,User Membership or Profile Retrieval
53000,Before Sending OTP Email to Helpdesk,Trace,OTP - Help Desk Email Provider
53001,Sending OTP with Helpdesk Exception,Error occured in the sending process,OTP - Help Desk Email Provider
53010,After Sending OTP with Helpdesk,Trace after the email is sent successfully,OTP - Help Desk Email Provider
53020,Response time of sending OTP with Helpdesk,Follows 53000 to track response time,OTP - Help Desk Email Provider
# OTP HTML Email Provider,,,
53100,Before Sending OTP Html Email,Trace,OTP - HTML Email Provider
53101,Sending OTP with Html Email Exception,Error occured in the sending process,OTP - HTML Email Provider
53110,After Sending OTP with Html Email,Trace after the email is sent successfully,OTP - HTML Email Provider
53120,Response time of sending OTP with Html Email,Follows 53100 to track response time,OTP - HTML Email Provider
53200,Before Sending OTP Text Email,Trace,OTP - Text Email Provider
53201,Sending OTP with Text Email Exception,Error occured in the sending process,OTP - Text Email Provider
53210,After Sending OTP with Text Email,Trace after the email is sent successfully,OTP - Text Email Provider
53220,Response time of sending OTP with Text Email,Follows 53200 to track response time,OTP - Text Email Provider
53020,Response time of sending OTP:,Sent help desk OTP email,OTP - Response Events
53120,Response time of sending OTP:,Sent HTML OTP email,OTP - Response Events
53220,Response time of sending OTP:,Sent text OTP email,OTP - Response Events
53310,Response time of sending OTP in domestic call/WSE: [response time in ms],Sent domestic OTP SMS via WSE call,OTP - Response Events
53330,Response time of sending OTP in international call/WSE with [Provider name]: [response time in ms],Sent international OTP SMS via WSE call,OTP - Response Events
53350,Response time of sending OTP in domestic call with [Provider name]: [response time in ms],Sent domestic OTP SMS,OTP - Response Events
53370,Response time of sending OTP in international call with [Provider name]: [response time in ms],Sent international OTP SMS,OTP - Response Events
53430,Response time of sending OTP in domestic call/WSE:,Sent domestic OTP phone call via WSE,OTP - Response Events
53450,Response time of sending OTP in international call/WSE:,Sent international OTP phone call via WSE,OTP - Response Events
53470,Response time of sending OTP in domestic call:,Sent domestic OTP phone call,OTP - Response Events
53490,Response time of sending OTP in international call,Sent international OTP phone call,OTP - Response Events
53500,NumberProfileProvider.GetNumberProfileModel - Status '{Current Carrier Status}' Reason: '{reason}',Trace made when the provider gets the number profile of the user's number,Number profile and push notification provider events
53501,NumberProfileProvider.GetNumberProfileModel - number profile is null,"Either the provider's number profile is null, or the current carrier is null",Number profile and push notification provider events
53502,NumberProfileProvider.GetNumberProfileModel - not configured for blocking,The realm is not configured for phone profile blocking,Number profile and push notification provider events
53510,"NumberProfileProvider.UpdateNumberProfile - Number: {user's number}, Ported Status: {user's PortedStatus}",Trace made in the provider when the number status is saved into the user's profile,Number profile and push notification provider events
53520,NumberProfileProvider.RemoveNumberProfile - Number: {old number},Trace made in the provider when user chooses to remove a number from their profile,Number profile and push notification provider events
54010,"Received response, response time of CSR in WSE call",Received via WSE call,Certificate Request to SA Cloud
54030,"Received response, response time of CSR:",Response time of CSR,Certificate Request to SA Cloud
54050,"Received response, response time of CSR in KEYGEN/WSE call","For Keygen, received via WSE call",Certificate Request to SA Cloud
54070,"Received response, response time of CSR in KEYGEN",For Keygen,Certificate Request to SA Cloud
54110,"Received response, response time of CSR in SCEP call",For SCEP call,Certificate Request to SA Cloud
55100,"Before sending LTA with: {Name}, to {maskedEmail}",This trace message is logged before an attempt is made to send the login request. A successful call is followed by an �After sending...� (55120) tracking message and a �Response time...� (55110) log for performance monitoring.,Link-to-Accept HTML Email
55101,"{Provider}.Send, did not obtain a login RequestID from SA Cloud.","SecureAuth IdP made an unsuccessful attempt to obtain a SecureAuth Link-to-Accept link and associated RequestID from the SA Cloud service. The attempt failed because either the IdP was unable to obtain a Bearer token using the customer ID and certificate thumbprint, or (less likely) SA Cloud did not create and return the link as requested.",Link-to-Accept HTML Email
55101,"Sending LTA with {Provider}, Exception: {Message}","An exception occurred before attempting to send a SecureAuth Link-to-Accept message, either when contacting SA Cloud or when building the message.",Link-to-Accept HTML Email
55102,"Sending LTA with {Provider�}, Exception: {Message}","An exception occurred after building the SecureAuth Link-to-Accept message, during an attempt to send the message.",Link-to-Accept HTML Email
55101,"{Provider}.Send, did not obtain a login RequestID from SA Cloud.","SecureAuth IdP made an unsuccessful attempt to obtain a SecureAuth Link-to-Accept link and associated RequestID from the SA Cloud service. The attempt failed because either the IdP was unable to obtain a Bearer token using the customer ID and certificate thumbprint, or (less likely) SA Cloud did not create and return the link as requested.",Link-to-Accept SMS
55200,"Before sending LTA with: {Name}, to {maskedEmail}",This trace message is logged before an attempt is made to send the login request. A successful call is followed by an �After sending...� (55220) tracking message and a �Response time...� (55210) log for performance monitoring.,Link-to-Accept Text Email
55201,"Sending LTA with {Provider�}, Exception: {Message}","An exception occurred after building the SecureAuth Link-to-Accept message, during an attempt to send the message.",Link-to-Accept Text Email
55302,AcceptDenyRequestStatusManager.GetStatusByLinkRequestId:�{Message},,Link-to-Accept Request Manager
55320,AcceptDenyRequestStatusManager.GetStatusByLinkRequestId:� {RequestID}�returned�{Status},"This status is logged when SA Cloud replied to a request for a link status. In normal operations, SA Cloud does not return when a link is pending; this log message appears when the user clicked on either the accept or deny link, or when the link has expired (~ 4 minutes, by default).",Link-to-Accept Request Manager
60000,HMAC authentication validation failed log,Filter action,API Events
60101,User controller entry point log of request to retrieve Multi-Factor collection for user,Controller action,API Events
60102,User controller exit point log of response to retrieve Multi-Factor collection for user,Controller action,API Events
60103,User controller entry point log of request to retrieve profile for user,Controller action,API Events
60104,User controller exit point log of response to retrieve profile for user,Controller action,API Events
60105,User controller entry point log of request to update user profile,Controller action,API Events
60106,User controller exit point log of response to update user profile,Controller action,API Events
60107,User controller entry point log of request to associate a single user with a single group,Controller action,API Events
60108,User controller exit point log of response to associate a single user with a single group,Controller action,API Events
60109,User controller entry point log of request to associate multiple users with a single group,Controller action,API Events
60110,User controller exit point log of response to associate multiple users with a single group,Controller action,API Events
60111,User controller entry point log of request to associate multiple groups with a single user,Controller action,API Events
60112,User controller exit point log of response to associate multiple groups with a single user,Controller action,API Events
60113,User controller entry point log of request to create new user,Controller action,API Events
60114,User controller exit point log of response to create new user,Controller action,API Events
60115,User controller entry point log of request to reset password,Controller action,API Events
60116,User controller exit point log of response to reset password,Controller action,API Events
60117,User controller entry point log of request to change password,Controller action,API Events
60118,User controller exit point log of response to change password,Controller action,API Events
60701,SecureAuth controller entry point of request to check Push-to-Accept status. USED INTERNALLY BY IdP,Controller action,API Events
60401,Mobile DFP controller entry point log of request to validate mobile DFP,Controller action,API Events
60402,Mobile DFP controller exit point log of response to validate mobile DFP,Controller action,API Events
60301,IP evaluation controller entry point log of request to evaluate IP threat level,Controller action,API Events
60302,IP evaluation controller exit point log of response to evaluate IP threat level,Controller action,API Events
60601,DFP controller entry point log of request to validate / score a device fingerprint,Controller action,API Events
60602,DFP controller exit point log of response of an invalid user ID,Controller action,API Events
60603,DFP controller exit point log of response to validate / score a device fingerprint,Controller action,API Events
60604,DFP controller entry point log of request to confirm a previously scored device fingerprint,Controller action,API Events
60605,DFP controller exit point log of response of an invalid user ID,Controller action,API Events
60606,DFP controller exit point log of response to confirm a previously scored device fingerprint,Controller action,API Events
60201,Authentication controller entry point log of request to perform some type of authentication,Controller action,API Events
60202,Authentication controller exit point log of response of an invalid user ID,Controller action,API Events
60203,Authentication controller exit point log of response to perform some type of authentication,Controller action,API Events
60204,Authentication controller entry point log of request to get Push-to-Accept status,Controller action,API Events
60206,Authentication controller entry point log of request to create Access History record,Controller action,API Events
60207,Authentication controller exit point log of response of an invalid user ID,Controller action,API Events
60208,Authentication controller exit point log of response to create Access History record,Controller action,API Events
60501,Adaptive Auth controller entry point log of request to invoke analyze engine,Controller action,API Events
60502,Adaptive Auth controller exit point log of response of an invalid user ID,Controller action,API Events
60503,Adaptive Auth controller exit point log of response of analyze engine results,Controller action,API Events
60601,[DfpController].[PostValidateDfpAsync] DFP controller invoked with: '{dfpRequest}',After a DFP request is made,DFP Controller API Calls
60602,[DfpController].[PostValidateDfpAsync] Returning response with: '{badUserResponse}',Validation after a bad user DFP response,DFP Controller API Calls
60603,[DfpController].[PostValidateDfpAsync] Returning response with: '{dfpRequest}',Validation after a DFP request is made,DFP Controller API Calls
60604,[DfpController].[PostConfirmDfpAsync] DFP controller invoked with: '{dfpRequest}',Confirmation after a DFP request is made,DFP Controller API Calls
60605,[DfpController].[PostConfirmDfpAsync] Returning response with: '{badUserResponse}',Confirmation after a bad user DFP response,DFP Controller API Calls
60606,[DfpController].[PostConfirmDfpAsync] Returning response with: '{dfpRequest}',Response after a DFP request is made,DFP Controller API Calls
60607,[DfpController].[PostScoreDfpAsync] DFP controller invoked with: '{dfpRequest}',After scoring a DFP request,DFP Controller API Calls
60608,[DfpController].[PostScoreDfpAsync] Returning response with: '{badUserResponse}',Score after a bad user DFP response,DFP Controller API Calls
60609,[DfpController].[PostScoreDfpAsync] Returning response with: '{dfpRequest}',Score after a DFP request is made,DFP Controller API Calls
60610,[DfpController].[PostSaveDfpAsync] DFP controller invoked with: '{dfpRequest}',After a DFP request is saved,DFP Controller API Calls
60611,[DfpController].[PostSaveDfpAsync] Returning response with: '{badUserResponse}',Response after saving a bad user DFP response,DFP Controller API Calls
60612,[DfpController].[PostSaveDfpAsync] Returning response with: '{dfpRequest}',Response after a DFP request is saved,DFP Controller API Calls
90000,Application - Start,Web page starts,System Level Events
90010,Session - Start,New session starts,System Level Events
90020,Application - Begin request,Appears for each web request,System Level Events
90030,Application - End request,Appears for each web request,System Level Events
90040,(value in milliseconds for response time of each web page request),Response time when user browses a web page,System Level Events
90050,Session - End,Session ends,System Level Events
90060,Application - End,Web page ends,System Level Events
