"use_case","bookmark","completed"
"Detecting XMRig CPU or GPU mining","no","no"
"Detecting Zerologon attacks","no","no"
"Detecting a ransomware attack","no","no"
"Detecting and resolving issues in a Kubernetes environment","no","no"
"Detecting brute force access behavior","no","no"
"Detecting changes to Windows user group","no","no"
"Detecting cloud federated credential abuse in AWS","no","no"
"Detecting cloud federated credential abuse in Windows","no","no"
"Detecting consumer bank account takeovers","no","no"
"Detecting credit card fraud","no","no"
"Detecting data exfiltration activities","no","no"
"Detecting domain trust discovery attempts","no","no"
"Detecting indicators of Remcos RAT malware","no","no"
"Detecting malicious activities with Sigma rules","no","no"
"Detecting malicious file obfuscation using certutil.exe","no","no"
"Detecting masquerading","no","no"
"Detecting network and port scanning","no","no"
"Detecting non-privileged user accounts conducting privileged actions","no","no"
"Detecting password spraying attacks within Active Directory environments","no","no"
"Detecting print spooler attacks","no","no"
"Detecting privilege escalation in your AWS environment","no","no"
"Detecting ransomware activities within AWS environments","no","no"
"Detecting recurring malware on a host","no","no"
"Detecting software supply chain attacks","no","no"
"Detecting suspicious activities within AWS cloud instances","no","no"
"Detecting the disabling of security tools","no","no"
"Detecting the use of randomization in cyberattacks","no","no"
"Detecting unencrypted web communications","no","no"
"Detecting usage of popular Linux post-exploitation tools","no","no"
"Detecting wire transfer fraud","no","no"
"Device owner identified using a MAC address","no","no"
"Device with outdated anti-malware","no","no"
"Disabled AWS CloudTrail logging","no","no"
"Distribution of web traffic across servers","no","no"
"ESXi host version identification","no","no"
"ESXi hosts with high CPU Ready summation value","no","no"
"ESXi hosts with sustained high ballooning","no","no"
"ESXi hosts with sustained high swapping","no","no"
"Enabling access between Kubernetes indexer clusters and external search heads","no","no"
"Enabling an audit trail from Active Directory","no","no"
"Enhancing endpoint monitoring with threat intelligence","no","no"
"Error and failure events on a host","no","no"
"Executable uploaded to a web server","no","no"
"Expanding AWS log ingestion capabilities with custom logs in Splunk Data Manager","no","no"
"Expected *Nix process not running","no","no"
"Expected Windows process not running","no","no"
"Expected host not reporting events","no","no"
"FQDN associated with an IP address","no","no"
"Failed Windows updates","no","no"
"File added to the system through external media","no","no"
"File downloaded to a machine from a website","no","no"
"File hashes associated with the Supernova trojanized DLL","no","no"
"File write spikes","no","no"
"Files a user uploaded to a network file share","no","no"
"Files that belong to a network user","no","no"
"Filesystem mounts after *nix patching event","no","no"
"Finding Windows audit log tampering","no","no"
"Finding interactive logins from service accounts","no","no"
"Finding large web uploads","no","no"
"First time seen JA3/JA3s hashes","no","no"
"First time seen stack trace","no","no"
"Foundational Visibility: Compliance","no","no"
"Gaining better visibility into Microsoft Exchange","no","no"
"Geographically improbable access detected","no","no"
"Getting Kubernetes log data Into Splunk Cloud Platform with OpenTelemetry","no","no"
"Getting Started with Splunk Asset and Risk Intelligence","no","no"
"Getting started with Microsoft Azure Event Hub data","no","no"
"Getting started with Microsoft Teams call record data and Azure Functions","no","no"
"Getting started with Splunk SOAR","no","no"
"Guided Insights: Risk-based alerting","no","no"
"Guided Insights: Threat hunting","no","no"
"Guided Insights: Threat intelligence","no","no"
"HIPAA access controls","no","no"
"HIPAA audit controls","no","no"
"HIPAA integrity controls","no","no"
"HIPAA transmission security","no","no"
"Health of critical AWS infrastructure from CloudWatch metrics","no","no"
"High CPU utilization alert","no","no"
"High file deletion frequency","no","no"
"High process termination frequency","no","no"
"How Splunk can help: Hunting for threats","no","no"
"How Splunk can help: Implementing advanced threat detection","no","no"
"How Splunk can help: Implementing compliance measures","no","no"
"IP address attempting a brute force password attack","no","no"
"IP address identification based on host name","no","no"
"IP address sending repeated requests to a web server","no","no"
"Identifying and quantifying your organization's carbon emissions","no","no"
"Identifying and removing malicious emails with Splunk SOAR from within Microsoft 365 mailboxes","no","no"
"Identifying and visualizing supply chain issues","no","no"
"Identifying high-value assets and data sources","no","no"
"Identifying new Windows local admin accounts","no","no"
"Identifying slowly loading web pages","no","no"
"Identifying web users by country","no","no"
"Implementing a reingestion pipeline for AWS logs using Kinesis Data Firehose","no","no"
"Implementing business, data, and security compliance","no","no"
"Implementing risk-based alerting","no","no"
"Improving hardware utilization by moving indexers into Kubernetes","no","no"
"Incorrectly provisioned virtual machines","no","no"
"Increases in DNS packet size and volume","no","no"
"Integrating Kubernetes and Splunk Observability Cloud","no","no"
"Inventory of Azure managed disks","no","no"
"Inventory of Azure virtual machines","no","no"
"Inventory of Azure virtual networks","no","no"
"Inventory of devices reporting network data","no","no"
"Inventory of unattached Azure managed disks","no","no"
"Investigating Gsuite phishing attacks","no","no"
"Investigating a ransomware attack","no","no"
"Investigating interesting behavior patterns with risk-based alerting","no","no"
"Investigating unusual file system queries","no","no"
"Investigating user login issues and account lockouts","no","no"
"JA3/JA3s hash overview","no","no"
"Large wire transfer immediately after account activation","no","no"
"Law enforcement active investigations","no","no"
"List of Azure resource changes","no","no"
"List of Azure resource network interface cards","no","no"
"List of Azure resource public IP addresses","no","no"
"List of Azure resource unused public IP addresses","no","no"
"Location of remote workers","no","no"
"Logging output from AWS Cloudwatch","no","no"
"Logging output from AWS Lambda functions","no","no"
"Logging output from any Azure Event Hub logs","no","no"
"Long-term trends in web server user load","no","no"
"Long-term website performance trends","no","no"
"Lookup table creation for scalable anomaly detection with JA3/JA3s hashes","no","no"
"MD5 hash of an uploaded file","no","no"
"Machine leasing an IP address at a particular time","no","no"
"Maintaining *nix systems with the Splunk platform","no","no"
"Managing *nix system user account behavior","no","no"
"Managing Azure cloud infrastructure","no","no"
"Managing Cisco IOS devices","no","no"
"Managing Dell Isilon network attached storage","no","no"
"Managing O365 workloads","no","no"
"Managing an Amazon Web Services environment","no","no"
"Managing cases in SOAR","no","no"
"Managing firewall rules","no","no"
"Managing prepaid mobile services","no","no"
"Managing printers in a Windows environment","no","no"
"Managing web server performance","no","no"
"Masking IP addresses from a specific range","no","no"
"Measuring memory utilization by host","no","no"
"Measuring storage I/O latency","no","no"
"Measuring storage speed I/O utilization by host","no","no"
"Microsoft recommended application log events","no","no"
"Migrating AWS inputs to Data Manager","no","no"
"Migrating from Tenable LCE to Splunk Enterprise Security","no","no"
"Monitoring ATM usage","no","no"
"Monitoring AWS Lambda infrastructure","no","no"
"Monitoring AWS Relational Database Services","no","no"
"Monitoring AWS S3 for suspicious activities","no","no"
"Monitoring DNS queries","no","no"
"Monitoring Kubernetes pods","no","no"
"Monitoring NIST SP 800-53 rev5 control families","no","no"
"Monitoring Snowflake database usage","no","no"
"Monitoring VMware components with Infrastructure Monitoring","no","no"
"Monitoring VMware virtualization infrastructure","no","no"
"Monitoring Windows account access","no","no"
"Monitoring a network for DNS exfiltration","no","no"
"Monitoring and troubleshooting device temperature","no","no"
"Monitoring command line interface actions","no","no"
"Monitoring consumer bank accounts to maintain compliance","no","no"
"Monitoring consumer credit card transactions","no","no"
"Monitoring for indicators of ransomware attacks","no","no"
"Monitoring for network traffic volume outliers","no","no"
"Monitoring for signs of Windows privilege escalation attack","no","no"
"Monitoring for signs of a Windows privilege escalation attack","no","no"
"Monitoring full DNS transaction data","no","no"
"Monitoring log volume trends","no","no"
"Monitoring major Cloud Service Providers (CSPs)","no","no"
"Monitoring medical record numbers for anomalous access","no","no"
"Monitoring mobile device payments","no","no"
"Monitoring new logins to financial applications","no","no"
"Monitoring payment responses","no","no"
"Monitoring remote access to Operational Technology environments","no","no"
"Monitoring removable media devices in Operational Technology environments","no","no"
"Monitoring the availability of online storefronts","no","no"
"Monitoring usage of wireless access points","no","no"
"Monitoring use of Git repositories","no","no"
"Monitoring user activity spikes in AWS","no","no"
"Monitoring web application performance","no","no"
"Monitoring wire transfers","no","no"
"Most common operating system and browser combination","no","no"
"Most commonly accessed business applications","no","no"
"Most frequent ATM users","no","no"
"Most used assets of a web application","no","no"
"Multichannel fraud detection","no","no"
"Multiple account login denials followed by authorization","no","no"
"NIST SP 800-53 access control","no","no"
"NIST SP 800-53 audit and accountability","no","no"
"NIST SP 800-53 configuration management","no","no"
"NIST SP 800-53 identification and authentication","no","no"
"NIST SP 800-53 incident response","no","no"
"NIST SP 800-53 risk assessment","no","no"
"NIST SP 800-53 system and information integrity","no","no"
"Network device down","no","no"
"Network traffic patterns between a source-destination pair","no","no"
"New account fraud","no","no"
"New application accessing the Salesforce API","no","no"
"New connection to device","no","no"
"New high-risk event types for a Salesforce cloud user","no","no"
"New tables queried by a Salesforce cloud peer group","no","no"
"New tables queried by a Salesforce cloud user","no","no"
"Number of active VPN sessions","no","no"
"Number of active Zoom meetings","no","no"
"Number of all Zoom meetings created over time","no","no"
"Number of connections between unique source-destination pairs","no","no"
"Number of current users on a website","no","no"
"Number of wire transfers exceeds threshold","no","no"
"Package installations and upgrades on a *nix server","no","no"
"Percentage of total bytes out from a source to a single destination","no","no"
"Predicting failed trade settlements","no","no"
"Preparing for certificate-based authentication changes on Windows domain controllers","no","no"
"Prescriptive Adoption Motion - Threat hunting","no","no"
"Printer errors","no","no"
"Proactive Response: Automate threat analysis","no","no"
"Problems with a specific network device","no","no"
"Process creation events","no","no"
"Processes launched from randomized file paths","no","no"
"Processes running after *nix patching event","no","no"
"Processing DMCA notices","no","no"
"Product or software accessing web server","no","no"
"Protecting a Salesforce cloud deployment","no","no"
"Public S3 bucket identification","no","no"
"Rarely used firewall rules","no","no"
"Rarest JA3s hashes and server combinations","no","no"
"Recently triggered vSphere alarms","no","no"
"Recognizing improper use of system administration tools","no","no"
"Reconstructing a website defacement","no","no"
"Recovering from an incident using SOAR","no","no"
"Recovering lost visibility of IT infrastructure","no","no"
"Reducing PAN and Cisco security firewall logs with Splunk Edge Processor","no","no"
"Registry activities","no","no"
"Registry key modifications","no","no"
"Registry keys used for privilege escalation","no","no"
"Remote logons to a host","no","no"
"Removable devices connected to a machine","no","no"
"Reporting on key trade statistics in a brokerage","no","no"
"Requests to a large number of subdomains","no","no"
"Responding to security incidents using SOAR","no","no"
"Riskiest ATM users","no","no"
"Running common General Data Protection Regulation (GDPR) compliance searches","no","no"
"SOAR Indicator Enrichment Playbook and Intelligence Management","no","no"
"SOAR Maturity Journey","no","no"
"SSL certificates nearing expiration","no","no"
"Schtasks.exe registering binaries or scripts to run from a public directory","no","no"
"Schtasks.exe used to force a reboot","no","no"
"Securing a work-from-home organization","no","no"
"Securing medical devices from cyberattacks","no","no"
"Sending Splunk Observability events as Workflow Actions from Splunk SOAR","no","no"
"Sending events from the Splunk platform to SOAR","no","no"
"Server Message Block (SMB) traffic connection spikes","no","no"
"Setting up the OpenTelemetry Demo in Kubernetes","no","no"
"Shadow copies deleted","no","no"
"Signs of beaconing activity","no","no"
"Spike in downloaded documents per user on Salesforce cloud","no","no"
"Spike in exported records from Salesforce cloud","no","no"
"Spikes in printer activity in a Windows environment","no","no"
"Spikes in volume of DNS queries","no","no"
"Splunk Adoption Maturity - Risk-based alerting","no","no"
"Splunk Adoption Maturity - Threat intelligence","no","no"
"Splunk Intelligence Management (TruSTAR) + SOAR: Indicator Enrichment Playbook","no","no"
"Successful VPN logins over time","no","no"
"Successful logins to a *nix server","no","no"
"Suspicious domains visited by a user","no","no"
"Suspicious script in the command line","no","no"
"Suspicious session behavior","no","no"
"Suspicious web traffic","no","no"
"Synthetic checks for URL response times","no","no"
"Systems vulnerable to Supernova malware","no","no"
"Systems with the update service disabled","no","no"
"Time elapsed between two related events","no","no"
"Top audit failures by user in Dell Isilon NAS","no","no"
"Top five most common web browsers","no","no"
"Top ten highest network utilization queries","no","no"
"Top ten most common database queries","no","no"
"Top ten slowest database queries","no","no"
"Top ten slowest web pages on a web server","no","no"
"Topology of a VMware environment","no","no"
"Total bytes out from source IP addresses","no","no"
"Tracking a retail banking transaction end-to-end","no","no"
"Trends in application errors over time","no","no"
"Trends in database query counts","no","no"
"Trends in database query response times","no","no"
"Trends in exceptions and stack traces","no","no"
"Trends in web server response codes","no","no"
"Triaging Crowdstrike malware data","no","no"
"Troubleshooting a service latency issue related to a database query","no","no"
"Troubleshooting checkout latency issues","no","no"
"Troubleshooting code bottlenecks","no","no"
"Typosquatting clicks on a network","no","no"
"USN journal deletion","no","no"
"Unauthorized access to Splunk indexes","no","no"
"Unauthorized access to systems","no","no"
"Unauthorized connection through firewall","no","no"
"Understanding SOAR case management features","no","no"
"Understanding how to use the Splunk Operator for Kubernetes","no","no"
"Unused Elastic IPs with no attached instances","no","no"
"Use of sudo commands on a server","no","no"
"User account changed","no","no"
"Using Amazon SageMaker to predict risk scores","no","no"
"Using Kubernetes Horizontal Pod Autoscaling","no","no"
"Using Splunk Enterprise Security to ensure GDPR compliance","no","no"
"Using Splunk Enterprise Security to ensure PCI compliance","no","no"
"Using Splunk SOAR to find gaps in your containment strategy","no","no"
"Using Threat Intelligence Management","no","no"
"Using ingest actions to filter AWS CloudTrail Logs","no","no"
"Using ingest actions to filter AWS VPC Flow Logs","no","no"
"Using stack traces to detect application errors","no","no"
"Using the OT Security add-on for Splunk to ensure NERC CIP compliance","no","no"
"Using the Splunk Enterprise Security assets and identities framework","no","no"
"Using threat intelligence in Splunk Enterprise Security","no","no"
"VMotion events for a specific virtual machine","no","no"
"VMware datastores with highest utilization","no","no"
"Virtual machines with large file size utilization","no","no"
"Visualisation of common Azure resource tags and tag values","no","no"
"Visualizing metrics for data separated by physical boundaries","no","no"
"Visualizing processes and their parent/child relationships","no","no"
"Volume of network traffic from one user","no","no"
"Volume of traffic between source-destination pairs","no","no"
"Wbadmin delete backup files","no","no"
"Web access and web error log correlation","no","no"
"Web application metrics visualization","no","no"
"Web requests to a specific system in your environment","no","no"
"Web server initiating outbound traffic","no","no"
"Web shell present in web traffic events","no","no"
"Wevtutil.exe abuse","no","no"
"Windows CPU utilization nearing capacity","no","no"
"Windows Zombie account lockouts","no","no"
"Windows account activity overview","no","no"
"Windows account lockouts","no","no"
"Windows availability problems","no","no"
"Windows disk drive utilization nearing capacity","no","no"
"Windows event log cleared","no","no"
"Windows host stops reporting data","no","no"
"Windows memory utilization nearing capacity","no","no"
"Windows process and JA3s hash correlation","no","no"
"Windows service account login attempts","no","no"
"Windows user group changes","no","no"
"Windows users unable to log in","no","no"
"Wire transfers from multiple client IP addresses","no","no"
"Wire transfers into suspicious or banned countries","no","no"
"Wmic.exe launching processes on a remote system","no","no"
"vCenter console logins","no","no"
"vSphere configuration changes","no","no"
